"work_zip","employer","employer_zip","diff_cases","total_cases","diff_pct","employer_lat","employer_long","employer_address","work_long","work_lat","work_address"
"01702","IBM INDIA PRIVATE LIMITED","27709",1,676,0.15,35.8908636,-78.8665733,"Durham, NC 27709, USA",-71.4358733,42.2781628,"Framingham, MA 01702, USA"
"01719","TECH MAHINDRA (AMERICAS), INC.","75093",2,217,0.92,33.0386278,-96.8243812,"Plano, TX 75093, USA",-71.5130445,42.4955325,"Boxborough, MA 01719, USA"
"01730","WIPRO LIMITED","08816",3,833,0.36,40.4333407,-74.4115246,"East Brunswick, NJ 08816, USA",-71.2755422,42.4936646,"Bedford, MA 01730, USA"
"01746","COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION","77845",5,268,1.87,30.5368372,-96.3013432,"College Station, TX 77845, USA",-71.4418101,42.198093,"Holliston, MA 01746, USA"
"01748","CAPGEMINI AMERICA INC","60606",4,1266,0.32,41.8817767,-87.6371461,"Chicago, IL 60606, USA",-71.5486562,42.2254318,"Hopkinton, MA 01748, USA"
"01748","WIPRO LIMITED","08816",1,833,0.12,40.4333407,-74.4115246,"East Brunswick, NJ 08816, USA",-71.5486562,42.2254318,"Hopkinton, MA 01748, USA"
"01752","ACCENTURE LLP","60601",7,1274,0.55,41.8839927,-87.6197056,"Chicago, IL 60601, USA",-71.536786,42.347372,"Marlborough, MA 01752, USA"
"01752","WIPRO LIMITED","08816",3,833,0.36,40.4333407,-74.4115246,"East Brunswick, NJ 08816, USA",-71.536786,42.347372,"Marlborough, MA 01752, USA"
"01752","IBM CORPORATION","27709",1,227,0.44,35.8908636,-78.8665733,"Durham, NC 27709, USA",-71.536786,42.347372,"Marlborough, MA 01752, USA"
"01760","TECH MAHINDRA (AMERICAS), INC.","75093",1,217,0.46,33.0386278,-96.8243812,"Plano, TX 75093, USA",-71.3468091,42.2775281,"Natick, MA 01760, USA"
"01772","ACCENTURE LLP","60601",5,1274,0.39,41.8839927,-87.6197056,"Chicago, IL 60601, USA",-71.536786,42.3092759,"Southborough, MA 01772, USA"
"01772","ERNST & YOUNG U.S. LLP","07094",1,806,0.12,40.782392,-74.0711359,"Secaucus, NJ 07094, USA",-71.536786,42.3092759,"Southborough, MA 01772, USA"
"01772","DELOITTE CONSULTING LLP","19103",2,870,0.23,39.9531865,-75.1749671,"Philadelphia, PA 19103, USA",-71.536786,42.3092759,"Southborough, MA 01772, USA"
"01772","CAPGEMINI AMERICA INC","60606",1,1266,0.08,41.8817767,-87.6371461,"Chicago, IL 60606, USA",-71.536786,42.3092759,"Southborough, MA 01772, USA"
"01775","CAPGEMINI AMERICA INC","60606",5,1266,0.39,41.8817767,-87.6371461,"Chicago, IL 60606, USA",-71.5130445,42.4195323,"Stow, MA 01775, USA"
"01803","SYNTEL CONSULTING INC.","48083",1,535,0.19,42.5496035,-83.1112798,"Troy, MI 48083, USA",-71.2042619,42.5005723,"Burlington, MA 01803, USA"
"01810","NTT DATA, INC.","02129",1,150,0.67,42.3795409,-71.0646337,"Charlestown, MA 02129, USA",-71.1407888,42.6568574,"Andover, MA 01810, USA"
"01810","TECH MAHINDRA (AMERICAS), INC.","75093",1,283,0.35,33.0386278,-96.8243812,"Plano, TX 75093, USA",-71.1407888,42.6568574,"Andover, MA 01810, USA"
"01810","WIPRO LIMITED","08816",6,833,0.72,40.4333407,-74.4115246,"East Brunswick, NJ 08816, USA",-71.1407888,42.6568574,"Andover, MA 01810, USA"
"01810","HCL AMERICA, INC.","94085",1,799,0.13,37.3895297,-122.0183914,"Sunnyvale, CA 94085, USA",-71.1407888,42.6568574,"Andover, MA 01810, USA"
"01821","ERNST & YOUNG U.S. LLP","07094",1,806,0.12,40.782392,-74.0711359,"Secaucus, NJ 07094, USA",-71.2517835,42.5465306,"Billerica, MA 01821, USA"
"01821","HEXAWARE TECHNOLOGIES, INC.","08830",3,194,1.55,40.5693929,-74.3176876,"Iselin, NJ 08830, USA",-71.2517835,42.5465306,"Billerica, MA 01821, USA"
"01824","ACCENTURE LLP","60601",1,1274,0.08,41.8839927,-87.6197056,"Chicago, IL 60601, USA",-71.3468091,42.6004425,"Chelmsford, MA 01824, USA"
"01851","TECH MAHINDRA (AMERICAS), INC.","75093",1,283,0.35,33.0386278,-96.8243812,"Plano, TX 75093, USA",-71.3408707,42.6325727,"Lowell, MA 01851, USA"
"01864","HCL AMERICA, INC.","94085",1,799,0.13,37.3895297,-122.0183914,"Sunnyvale, CA 94085, USA",-71.0854325,42.5750833,"North Reading, MA 01864, USA"
"01886","RELIABLE SOFTWARE RESOURCES, INC.","48167",1,116,0.86,42.4312595,-83.483215,"Northville, MI 48167, USA",-71.4536835,42.5899487,"Westford, MA 01886, USA"
"01886","NTT DATA, INC.","02129",1,150,0.67,42.3795409,-71.0646337,"Charlestown, MA 02129, USA",-71.4536835,42.5899487,"Westford, MA 01886, USA"
"01887","ACCENTURE LLP","60601",2,1274,0.16,41.8839927,-87.6197056,"Chicago, IL 60601, USA",-71.1567344,42.5682996,"Wilmington, MA 01887, USA"
"01887","IBM INDIA PRIVATE LIMITED","27709",3,676,0.44,35.8908636,-78.8665733,"Durham, NC 27709, USA",-71.1567344,42.5682996,"Wilmington, MA 01887, USA"
"01915","CAPGEMINI AMERICA INC","60606",1,1266,0.08,41.8817767,-87.6371461,"Chicago, IL 60606, USA",-70.8476708,42.5720581,"Beverly, MA 01915, USA"
"01923","HCL AMERICA, INC.","94085",2,799,0.25,37.3895297,-122.0183914,"Sunnyvale, CA 94085, USA",-70.9427914,42.569557,"Danvers, MA 01923, USA"
"01930","HCL AMERICA, INC.","94085",1,799,0.13,37.3895297,-122.0183914,"Sunnyvale, CA 94085, USA",-70.6811613,42.6186994,"Gloucester, MA 01930, USA"
"02038","DELOITTE CONSULTING LLP","19103",1,870,0.11,39.9531865,-75.1749671,"Philadelphia, PA 19103, USA",-71.4061876,42.0870521,"Franklin, MA 02038, USA"
"02048","RANDSTAD TECHNOLOGIES, LP","01801",1,168,0.6,42.4884618,-71.1329685,"Woburn, MA 01801, USA",-71.2280234,42.0092584,"Mansfield, MA 02048, USA"
"02048","ERNST & YOUNG U.S. LLP","07094",2,806,0.25,40.782392,-74.0711359,"Secaucus, NJ 07094, USA",-71.2280234,42.0092584,"Mansfield, MA 02048, USA"
"02048","DELOITTE CONSULTING LLP","19103",1,870,0.11,39.9531865,-75.1749671,"Philadelphia, PA 19103, USA",-71.2280234,42.0092584,"Mansfield, MA 02048, USA"
"02062","CAPGEMINI AMERICA INC","60606",1,1266,0.08,41.8817767,-87.6371461,"Chicago, IL 60606, USA",-71.2042619,42.1772198,"Norwood, MA 02062, USA"
"02090","SYNTEL CONSULTING INC.","48083",1,535,0.19,42.5496035,-83.1112798,"Troy, MI 48083, USA",-71.2102024,42.2211351,"Westwood, MA 02090, USA"
"02090","RANDSTAD TECHNOLOGIES, LP","01801",1,168,0.6,42.4884618,-71.1329685,"Woburn, MA 01801, USA",-71.2102024,42.2211351,"Westwood, MA 02090, USA"
"02108","ACCENTURE LLP","60601",1,1274,0.08,41.8839927,-87.6197056,"Chicago, IL 60601, USA",-71.0661193,42.3548561,"Boston, MA 02108, USA"
"02108","POPULUS GROUP LLC","48084",1,168,0.6,42.5586572,-83.1809776,"Troy, MI 48084, USA",-71.0661193,42.3548561,"Boston, MA 02108, USA"
"02109","ERNST & YOUNG U.S. LLP","07094",2,806,0.25,40.782392,-74.0711359,"Secaucus, NJ 07094, USA",-71.0482911,42.3660616,"Boston, MA 02109, USA"
"02109","SYNTEL CONSULTING INC.","48083",1,535,0.19,42.5496035,-83.1112798,"Troy, MI 48083, USA",-71.0482911,42.3660616,"Boston, MA 02109, USA"
"02109","RANDSTAD TECHNOLOGIES, LP","01801",2,168,1.19,42.4884618,-71.1329685,"Woburn, MA 01801, USA",-71.0482911,42.3660616,"Boston, MA 02109, USA"
"02109","RELIABLE SOFTWARE RESOURCES, INC.","48167",1,116,0.86,42.4312595,-83.483215,"Northville, MI 48167, USA",-71.0482911,42.3660616,"Boston, MA 02109, USA"
"02109","HEXAWARE TECHNOLOGIES, INC.","08830",1,194,0.52,40.5693929,-74.3176876,"Iselin, NJ 08830, USA",-71.0482911,42.3660616,"Boston, MA 02109, USA"
"02110","RANDSTAD TECHNOLOGIES, LP","01801",1,168,0.6,42.4884618,-71.1329685,"Woburn, MA 01801, USA",-71.0482911,42.3613114,"Boston, MA 02110, USA"
"02110","BANK OF AMERICA N.A.","10020",1,128,0.78,40.7605505,-73.9822683,"New York, NY 10020, USA",-71.0482911,42.3613114,"Boston, MA 02110, USA"
"02110","WIPRO LIMITED","08816",1,833,0.12,40.4333407,-74.4115246,"East Brunswick, NJ 08816, USA",-71.0482911,42.3613114,"Boston, MA 02110, USA"
"02110","SYNTEL CONSULTING INC.","48083",1,161,0.62,42.5496035,-83.1112798,"Troy, MI 48083, USA",-71.0482911,42.3613114,"Boston, MA 02110, USA"
"02110","ACCENTURE LLP","60601",4,1274,0.31,41.8839927,-87.6197056,"Chicago, IL 60601, USA",-71.0482911,42.3613114,"Boston, MA 02110, USA"
"02110","SYNTEL CONSULTING INC.","48083",15,535,2.8,42.5496035,-83.1112798,"Troy, MI 48083, USA",-71.0482911,42.3613114,"Boston, MA 02110, USA"
"02111","KPMG LLP","75201",5,198,2.53,32.7863301,-96.7962528,"Dallas, TX 75201, USA",-71.0601767,42.3514653,"Boston, MA 02111, USA"
"02111","RELIABLE SOFTWARE RESOURCES, INC.","48167",1,116,0.86,42.4312595,-83.483215,"Northville, MI 48167, USA",-71.0601767,42.3514653,"Boston, MA 02111, USA"
"02111","TECH MAHINDRA (AMERICAS), INC.","75093",1,283,0.35,33.0386278,-96.8243812,"Plano, TX 75093, USA",-71.0601767,42.3514653,"Boston, MA 02111, USA"
"02111","COMPUNNEL SOFTWARE GROUP, INC.","08536",1,218,0.46,40.3379035,-74.5873348,"Plainsboro Township, NJ 08536, USA",-71.0601767,42.3514653,"Boston, MA 02111, USA"
"02111","HCL AMERICA, INC.","94085",3,799,0.38,37.3895297,-122.0183914,"Sunnyvale, CA 94085, USA",-71.0601767,42.3514653,"Boston, MA 02111, USA"
"02111","SYNTEL CONSULTING INC.","48083",1,161,0.62,42.5496035,-83.1112798,"Troy, MI 48083, USA",-71.0601767,42.3514653,"Boston, MA 02111, USA"
"02111","ACCENTURE LLP","60601",1,1274,0.08,41.8839927,-87.6197056,"Chicago, IL 60601, USA",-71.0601767,42.3514653,"Boston, MA 02111, USA"
"02111","CAPGEMINI AMERICA INC","60606",4,1266,0.32,41.8817767,-87.6371461,"Chicago, IL 60606, USA",-71.0601767,42.3514653,"Boston, MA 02111, USA"
"02111","SYNTEL CONSULTING INC.","48083",7,535,1.31,42.5496035,-83.1112798,"Troy, MI 48083, USA",-71.0601767,42.3514653,"Boston, MA 02111, USA"
"02111","DELOITTE CONSULTING LLP","19103",1,870,0.11,39.9531865,-75.1749671,"Philadelphia, PA 19103, USA",-71.0601767,42.3514653,"Boston, MA 02111, USA"
"02114","RANDSTAD TECHNOLOGIES, LP","01801",2,168,1.19,42.4884618,-71.1329685,"Woburn, MA 01801, USA",-71.0646337,42.3652917,"Boston, MA 02114, USA"
"02116","RANDSTAD TECHNOLOGIES, LP","01801",1,168,0.6,42.4884618,-71.1329685,"Woburn, MA 01801, USA",-71.0765188,42.353068,"Boston, MA 02116, USA"
"02116","DELOITTE & TOUCHE LLP","19103",11,353,3.12,39.9531865,-75.1749671,"Philadelphia, PA 19103, USA",-71.0765188,42.353068,"Boston, MA 02116, USA"
"02116","DELOITTE CONSULTING LLP","19103",6,870,0.69,39.9531865,-75.1749671,"Philadelphia, PA 19103, USA",-71.0765188,42.353068,"Boston, MA 02116, USA"
"02116","SYNTEL CONSULTING INC.","48083",2,535,0.37,42.5496035,-83.1112798,"Troy, MI 48083, USA",-71.0765188,42.353068,"Boston, MA 02116, USA"
"02116","ERNST & YOUNG U.S. LLP","07094",30,806,3.72,40.782392,-74.0711359,"Secaucus, NJ 07094, USA",-71.0765188,42.353068,"Boston, MA 02116, USA"
"02125","RELIABLE SOFTWARE RESOURCES, INC.","48167",1,116,0.86,42.4312595,-83.483215,"Northville, MI 48167, USA",-71.0527482,42.3157363,"Dorchester, MA 02125, USA"
"02125","ERNST & YOUNG U.S. LLP","07094",1,806,0.12,40.782392,-74.0711359,"Secaucus, NJ 07094, USA",-71.0527482,42.3157363,"Dorchester, MA 02125, USA"
"02126","NTT DATA, INC.","02129",1,150,0.67,42.3795409,-71.0646337,"Charlestown, MA 02129, USA",-71.0913748,42.2771417,"Mattapan, MA 02126, USA"
"02129","WIPRO LIMITED","08816",1,833,0.12,40.4333407,-74.4115246,"East Brunswick, NJ 08816, USA",-71.0646337,42.3795409,"Charlestown, MA 02129, USA"
"02139","IBM INDIA PRIVATE LIMITED","27709",1,676,0.15,35.8908636,-78.8665733,"Durham, NC 27709, USA",-71.1032591,42.3647559,"Cambridge, MA 02139, USA"
"02139","DELOITTE CONSULTING LLP","19103",2,870,0.23,39.9531865,-75.1749671,"Philadelphia, PA 19103, USA",-71.1032591,42.3647559,"Cambridge, MA 02139, USA"
"02140","ERNST & YOUNG U.S. LLP","07094",1,806,0.12,40.782392,-74.0711359,"Secaucus, NJ 07094, USA",-71.1359393,42.3964457,"Cambridge, MA 02140, USA"
"02140","CAPGEMINI AMERICA INC","60606",1,1266,0.08,41.8817767,-87.6371461,"Chicago, IL 60606, USA",-71.1359393,42.3964457,"Cambridge, MA 02140, USA"
"02142","AMAZON CORPORATE LLC","98121",2,513,0.39,47.6288591,-122.3456919,"Seattle, WA 98109, USA",-71.0824613,42.3635847,"Cambridge, MA 02142, USA"
"02142","IBM CORPORATION","27709",1,227,0.44,35.8908636,-78.8665733,"Durham, NC 27709, USA",-71.0824613,42.3635847,"Cambridge, MA 02142, USA"
"02142","AMAZON CORPORATE LLC","98121",6,513,1.17,47.6152474,-122.3497446,"Seattle, WA 98121, USA",-71.0824613,42.3635847,"Cambridge, MA 02142, USA"
"02142","IBM INDIA PRIVATE LIMITED","27709",1,676,0.15,35.8908636,-78.8665733,"Durham, NC 27709, USA",-71.0824613,42.3635847,"Cambridge, MA 02142, USA"
"02150","ACCENTURE LLP","60601",2,1274,0.16,41.8839927,-87.6197056,"Chicago, IL 60601, USA",-71.0319478,42.4000656,"Chelsea, MA 02150, USA"
"02169","HCL AMERICA, INC.","94085",3,799,0.38,37.3895297,-122.0183914,"Sunnyvale, CA 94085, USA",-70.9962875,42.2513682,"Quincy, MA 02169, USA"
"02169","SYNTEL CONSULTING INC.","48083",5,535,0.93,42.5496035,-83.1112798,"Troy, MI 48083, USA",-70.9962875,42.2513682,"Quincy, MA 02169, USA"
"02169","IBM INDIA PRIVATE LIMITED","27709",1,676,0.15,35.8908636,-78.8665733,"Durham, NC 27709, USA",-70.9962875,42.2513682,"Quincy, MA 02169, USA"
"02171","HCL AMERICA, INC.","94085",2,799,0.25,37.3895297,-122.0183914,"Sunnyvale, CA 94085, USA",-71.0111463,42.2991086,"Quincy, MA 02171, USA"
"02171","SYNTEL CONSULTING INC.","48083",1,161,0.62,42.5496035,-83.1112798,"Troy, MI 48083, USA",-71.0111463,42.2991086,"Quincy, MA 02171, USA"
"02171","WIPRO LIMITED","08816",2,833,0.24,40.4333407,-74.4115246,"East Brunswick, NJ 08816, USA",-71.0111463,42.2991086,"Quincy, MA 02171, USA"
"02171","HEXAWARE TECHNOLOGIES, INC.","08830",1,194,0.52,40.5693929,-74.3176876,"Iselin, NJ 08830, USA",-71.0111463,42.2991086,"Quincy, MA 02171, USA"
"02171","IBM INDIA PRIVATE LIMITED","27709",1,676,0.15,35.8908636,-78.8665733,"Durham, NC 27709, USA",-71.0111463,42.2991086,"Quincy, MA 02171, USA"
"02171","SYNTEL CONSULTING INC.","48083",27,535,5.05,42.5496035,-83.1112798,"Troy, MI 48083, USA",-71.0111463,42.2991086,"Quincy, MA 02171, USA"
"02184","ACCENTURE LLP","60601",1,1274,0.08,41.8839927,-87.6197056,"Chicago, IL 60601, USA",-71.014118,42.2020445,"Braintree, MA 02184, USA"
"02184","CAPGEMINI AMERICA INC","60606",1,1266,0.08,41.8817767,-87.6371461,"Chicago, IL 60606, USA",-71.014118,42.2020445,"Braintree, MA 02184, USA"
"02199","ERNST & YOUNG U.S. LLP","07094",1,806,0.12,40.782392,-74.0711359,"Secaucus, NJ 07094, USA",-71.0832041,42.3464868,"Boston, MA 02199, USA"
"02199","ACCENTURE LLP","60601",5,1274,0.39,41.8839927,-87.6197056,"Chicago, IL 60601, USA",-71.0832041,42.3464868,"Boston, MA 02199, USA"
"02199","RANDSTAD TECHNOLOGIES, LP","01801",2,168,1.19,42.4884618,-71.1329685,"Woburn, MA 01801, USA",-71.0832041,42.3464868,"Boston, MA 02199, USA"
"02210","PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC","33607",7,220,3.18,27.9717504,-82.4915194,"Tampa, FL 33607, USA",-71.0408624,42.3517272,"Boston, MA 02210, USA"
"02210","CAPGEMINI AMERICA INC","60606",6,1266,0.47,41.8817767,-87.6371461,"Chicago, IL 60606, USA",-71.0408624,42.3517272,"Boston, MA 02210, USA"
"02210","ACCENTURE LLP","60601",2,1274,0.16,41.8839927,-87.6197056,"Chicago, IL 60601, USA",-71.0408624,42.3517272,"Boston, MA 02210, USA"
"02210","SYNTEL CONSULTING INC.","48083",1,535,0.19,42.5496035,-83.1112798,"Troy, MI 48083, USA",-71.0408624,42.3517272,"Boston, MA 02210, USA"
"02210","WIPRO LIMITED","08816",1,833,0.12,40.4333407,-74.4115246,"East Brunswick, NJ 08816, USA",-71.0408624,42.3517272,"Boston, MA 02210, USA"
"02210","RANDSTAD TECHNOLOGIES, LP","01801",1,168,0.6,42.4884618,-71.1329685,"Woburn, MA 01801, USA",-71.0408624,42.3517272,"Boston, MA 02210, USA"
"02210","HCL AMERICA, INC.","94085",1,799,0.13,37.3895297,-122.0183914,"Sunnyvale, CA 94085, USA",-71.0408624,42.3517272,"Boston, MA 02210, USA"
"02210","DELOITTE CONSULTING LLP","19103",1,870,0.11,39.9531865,-75.1749671,"Philadelphia, PA 19103, USA",-71.0408624,42.3517272,"Boston, MA 02210, USA"
"02210","PRICEWATERHOUSECOOPERS LLP","33607",6,168,3.57,27.9717504,-82.4915194,"Tampa, FL 33607, USA",-71.0408624,42.3517272,"Boston, MA 02210, USA"
"02210","SYNTEL CONSULTING INC.","48083",1,161,0.62,42.5496035,-83.1112798,"Troy, MI 48083, USA",-71.0408624,42.3517272,"Boston, MA 02210, USA"
"02349","DELOITTE CONSULTING LLP","19103",1,870,0.11,39.9531865,-75.1749671,"Philadelphia, PA 19103, USA",-70.92,41.89,"Middleborough, MA 02349, USA"
"02421","ACCENTURE LLP","60601",2,1274,0.16,41.8839927,-87.6197056,"Chicago, IL 60601, USA",-71.2280234,42.4286907,"Lexington, MA 02421, USA"
"02421","WIPRO LIMITED","08816",1,833,0.12,40.4333407,-74.4115246,"East Brunswick, NJ 08816, USA",-71.2280234,42.4286907,"Lexington, MA 02421, USA"
"02421","ERNST & YOUNG U.S. LLP","07094",1,806,0.12,40.782392,-74.0711359,"Secaucus, NJ 07094, USA",-71.2280234,42.4286907,"Lexington, MA 02421, USA"
"02451","WIPRO LIMITED","08816",11,833,1.32,40.4333407,-74.4115246,"East Brunswick, NJ 08816, USA",-71.2598997,42.3971065,"Waltham, MA 02451, USA"
"02451","IBM INDIA PRIVATE LIMITED","27709",2,676,0.3,35.8908636,-78.8665733,"Durham, NC 27709, USA",-71.2598997,42.3971065,"Waltham, MA 02451, USA"
"02451","HCL AMERICA, INC.","94085",4,799,0.5,37.3895297,-122.0183914,"Sunnyvale, CA 94085, USA",-71.2598997,42.3971065,"Waltham, MA 02451, USA"
"02451","HEXAWARE TECHNOLOGIES, INC.","08830",1,194,0.52,40.5693929,-74.3176876,"Iselin, NJ 08830, USA",-71.2598997,42.3971065,"Waltham, MA 02451, USA"
"02459","COMPUNNEL SOFTWARE GROUP, INC.","08536",1,218,0.46,40.3379035,-74.5873348,"Plainsboro Township, NJ 08536, USA",-71.1864397,42.3028239,"Newton Centre, MA 02459, USA"
"02472","NTT DATA, INC.","02129",1,150,0.67,42.3795409,-71.0646337,"Charlestown, MA 02129, USA",-71.1843543,42.3653524,"Watertown, MA 02472, USA"
"02481","RELIABLE SOFTWARE RESOURCES, INC.","48167",1,116,0.86,42.4312595,-83.483215,"Northville, MI 48167, USA",-71.2814816,42.3093812,"Wellesley Hills, MA 02481, USA"
"02493","ACCENTURE LLP","60601",2,1274,0.16,41.8839927,-87.6197056,"Chicago, IL 60601, USA",-71.2992993,42.3647113,"Weston, MA 02493, USA"
"02767","HCL AMERICA, INC.","94085",1,799,0.13,37.3895297,-122.0183914,"Sunnyvale, CA 94085, USA",-71.0616623,41.9427194,"Raynham, MA 02767, USA"
"02817","HCL AMERICA, INC.","94085",5,799,0.63,37.3895297,-122.0183914,"Sunnyvale, CA 94085, USA",-71.6436028,41.6269085,"West Greenwich, RI 02817, USA"
"02864","DELOITTE CONSULTING LLP","19103",1,870,0.11,39.9531865,-75.1749671,"Philadelphia, PA 19103, USA",-71.4061876,41.9721816,"Cumberland, RI 02864, USA"
"02864","ERNST & YOUNG U.S. LLP","07094",1,806,0.12,40.782392,-74.0711359,"Secaucus, NJ 07094, USA",-71.4061876,41.9721816,"Cumberland, RI 02864, USA"
"02865","RELIABLE SOFTWARE RESOURCES, INC.","48167",1,116,0.86,42.4312595,-83.483215,"Northville, MI 48167, USA",-71.4418101,41.9110123,"Lincoln, RI 02865, USA"
"02865","RANDSTAD TECHNOLOGIES, LP","01801",1,168,0.6,42.4884618,-71.1329685,"Woburn, MA 01801, USA",-71.4418101,41.9110123,"Lincoln, RI 02865, USA"
"02865","IBM INDIA PRIVATE LIMITED","27709",8,676,1.18,35.8908636,-78.8665733,"Durham, NC 27709, USA",-71.4418101,41.9110123,"Lincoln, RI 02865, USA"
"02886","CAPGEMINI AMERICA INC","60606",1,1266,0.08,41.8817767,-87.6371461,"Chicago, IL 60606, USA",-71.4655565,41.7034769,"Warwick, RI 02886, USA"
"02895","IBM CORPORATION","27709",1,227,0.44,35.8908636,-78.8665733,"Durham, NC 27709, USA",-71.5130445,41.9995834,"Woonsocket, RI 02895, USA"
"02895","ERNST & YOUNG U.S. LLP","07094",1,806,0.12,40.782392,-74.0711359,"Secaucus, NJ 07094, USA",-71.5130445,41.9995834,"Woonsocket, RI 02895, USA"
"02895","RANDSTAD TECHNOLOGIES, LP","01801",4,168,2.38,42.4884618,-71.1329685,"Woburn, MA 01801, USA",-71.5130445,41.9995834,"Woonsocket, RI 02895, USA"
"02895","WIPRO LIMITED","08816",1,833,0.12,40.4333407,-74.4115246,"East Brunswick, NJ 08816, USA",-71.5130445,41.9995834,"Woonsocket, RI 02895, USA"
"02904","DELOITTE CONSULTING LLP","19103",5,870,0.57,39.9531865,-75.1749671,"Philadelphia, PA 19103, USA",-71.4358733,41.8668281,"Providence, RI 02904, USA"
"02915","DELOITTE CONSULTING LLP","19103",2,870,0.23,39.9531865,-75.1749671,"Philadelphia, PA 19103, USA",-71.3468091,41.7798634,"Riverside, RI 02915, USA"
"02917","RELIABLE SOFTWARE RESOURCES, INC.","48167",2,116,1.72,42.4312595,-83.483215,"Northville, MI 48167, USA",-71.5130445,41.9036825,"Smithfield, RI 02917, USA"
"02917","RANDSTAD TECHNOLOGIES, LP","01801",2,168,1.19,42.4884618,-71.1329685,"Woburn, MA 01801, USA",-71.5130445,41.9036825,"Smithfield, RI 02917, USA"
"02917","CAPGEMINI AMERICA INC","60606",6,1266,0.47,41.8817767,-87.6371461,"Chicago, IL 60606, USA",-71.5130445,41.9036825,"Smithfield, RI 02917, USA"
"02919","V-SOFT CONSULTING GROUP, INC","40222",1,140,0.71,38.2718515,-85.6177891,"Louisville, KY 40222, USA",-71.5130445,41.8268401,"Johnston, RI 02919, USA"
"02920","DELOITTE CONSULTING LLP","19103",1,870,0.11,39.9531865,-75.1749671,"Philadelphia, PA 19103, USA",-71.4655565,41.7612384,"Cranston, RI 02920, USA"
"03054","CAPGEMINI AMERICA INC","60606",1,1266,0.08,41.8817767,-87.6371461,"Chicago, IL 60606, USA",-71.5130445,42.855038,"Merrimack, NH 03054, USA"
"03054","RANDSTAD TECHNOLOGIES, LP","01801",3,168,1.79,42.4884618,-71.1329685,"Woburn, MA 01801, USA",-71.5130445,42.855038,"Merrimack, NH 03054, USA"
