topic,type,numComments
ferc,Tag,13.0
naruc,Tag,13.0
net metering,Tag,13.0
wholesale markets,Tag,13.0
BOS/Inverters,Theme,0.0
enphase,Tag,0.0
huawei,Tag,0.0
inverters,Tag,0.0
mlpe,Tag,0.0
solaredge,Tag,0.0
Markets & Policy,Theme,14.0
bnef,Tag,14.0
climatescope,Tag,14.0
emerging markets,Tag,14.0
oecd,Tag,14.0
solar,Tag,14.0
wind,Tag,14.0
Energy,Theme,20.0
2016,Tag,20.0
energy gang,Tag,20.0
podcast,Tag,20.0
year in review,Tag,20.0
Energy Storage,Theme,12.0
bill gates,Tag,12.0
don sadoway,Tag,12.0
khosla,Tag,12.0
liquid metal,Tag,12.0
lithium,Tag,12.0
lithium ion,Tag,12.0
lithium ion batteries,Tag,12.0
mit,Tag,12.0
sadoway,Tag,12.0
solid state batteries,Tag,12.0
solid state chemistry,Tag,12.0
total,Tag,12.0
Policy,Theme,58.0
carbon tax,Tag,58.0
climate change,Tag,58.0
doe,Tag,58.0
doe loans,Tag,58.0
donald trump,Tag,58.0
elon musk,Tag,58.0
evs,Tag,58.0
google,Tag,58.0
itc,Tag,58.0
ptc,Tag,58.0
renewable energy,Tag,58.0
solarcity,Tag,58.0
tax credits,Tag,58.0
tesla,Tag,58.0
Fossil Fuels,Theme,54.0
climate denial,Tag,54.0
donald trump,Tag,54.0
editors news feed,Tag,54.0
Policy,Theme,26.0
business,Tag,26.0
climate action,Tag,26.0
climate change,Tag,26.0
corporate renewables procurement,Tag,26.0
donald trump,Tag,26.0
Electric Vehicles,Theme,2.0
editors news feed,Tag,2.0
faraday future,Tag,2.0
mobility,Tag,2.0
Other Energy,Theme,25.0
hydrogen,Tag,25.0
hydrogen economy,Tag,25.0
marine energy,Tag,25.0
orkney islands,Tag,25.0
tidal energy,Tag,25.0
Solar,Theme,0.0
gtm research,Tag,0.0
huawei,Tag,0.0
inverters,Tag,0.0
sma,Tag,0.0
Fossil Fuels,Theme,19.0
brookings institution,Tag,19.0
carbon emissions,Tag,19.0
decarbonization,Tag,19.0
Solar Projects,Theme,17.0
abb,Tag,17.0
adani,Tag,17.0
gcl,Tag,17.0
india,Tag,17.0
solar panels,Tag,17.0
topaz,Tag,17.0
utility scale solar,Tag,17.0
Residential Solar,Theme,6.0
amendment 1,Tag,6.0
amendment 4,Tag,6.0
florida,Tag,6.0
net metering,Tag,6.0
rooftop solar,Tag,6.0
solarcity,Tag,6.0
tesla,Tag,6.0
Mobility,Theme,0.0
apple,Tag,0.0
autonomous vehicles,Tag,0.0
editors news feed,Tag,0.0
Off Grid/Energy Access,Theme,1.0
energy access,Tag,1.0
off-grid solar,Tag,1.0
powermundo,Tag,1.0
rural electrification,Tag,1.0
solar lanterns,Tag,1.0
solar led,Tag,1.0
Products and Technology,Theme,9.0
lawrence berkeley national laboratory,Tag,9.0
offshore wind,Tag,9.0
wind capacity factor,Tag,9.0
wind turbines,Tag,9.0
Utility-Scale Solar,Theme,5.0
california,Tag,5.0
duck curve,Tag,5.0
flex,Tag,5.0
flow batteries,Tag,5.0
lithium-ion,Tag,5.0
nextracker,Tag,5.0
pv trackers,Tag,5.0
solar,Tag,5.0
solar-plus-storage,Tag,5.0
Grid Edge,Theme,0.0
david crane,Tag,0.0
element partners,Tag,0.0
energy jobs,Tag,0.0
enertech search,Tag,0.0
enertechsearch,Tag,0.0
geostellar,Tag,0.0
green jobs,Tag,0.0
jobs,Tag,0.0
peter thiel,Tag,0.0
raj atluru,Tag,0.0
solarcity,Tag,0.0
solaria,Tag,0.0
telensa,Tag,0.0
Policy,Theme,44.0
donald trump,Tag,44.0
editors news feed,Tag,44.0
environmental protection agency,Tag,44.0
Policy,Theme,67.0
department of energy,Tag,67.0
donald trump,Tag,67.0
Residential Solar,Theme,3.0
editors news feed,Tag,3.0
rooftop solar,Tag,3.0
solarcity,Tag,3.0
Energy Storage,Theme,0.0
panasonic,Tag,0.0
solar-plus-storage,Tag,0.0
Markets & Policy,Theme,64.0
emissions costs,Tag,64.0
energy cost,Tag,64.0
ghg emissions,Tag,64.0
lcoe,Tag,64.0
natural gas,Tag,64.0
solar power,Tag,64.0
ut austin,Tag,64.0
wind power,Tag,64.0
Grid Optimization,Theme,3.0
3degrees,Tag,3.0
california independent system operator,Tag,3.0
corporate renewables procurement,Tag,3.0
western regional system operator,Tag,3.0
wholesale electricity markets,Tag,3.0
Finance & VC,Theme,58.0
bill gates,Tag,58.0
breakthrough energy ventures,Tag,58.0
john doerr,Tag,58.0
vinod khosla,Tag,58.0
Lighting,Theme,5.0
christmas lights,Tag,5.0
energy efficiency,Tag,5.0
led,Tag,5.0
nyiso,Tag,5.0
string lights,Tag,5.0
Electric Vehicles,Theme,64.0
editors news feed,Tag,64.0
germany,Tag,64.0
Solar,Theme,168.0
100 percent renewables,Tag,168.0
batteries,Tag,168.0
california,Tag,168.0
carbon capture and sequestration,Tag,168.0
energy storage,Tag,168.0
massachusetts,Tag,168.0
nuclear,Tag,168.0
solar,Tag,168.0
wind,Tag,168.0
Electric Vehicles,Theme,19.0
earnings calls,Tag,19.0
elon musk,Tag,19.0
jb straubel,Tag,19.0
model 3,Tag,19.0
tesla,Tag,19.0
Markets & Policy,Theme,15.0
federal energy regulatory commission,Tag,15.0
federal reserve,Tag,15.0
interest rates,Tag,15.0
purpa,Tag,15.0
Energy Storage,Theme,20.0
battery storage,Tag,20.0
julie blunden,Tag,20.0
market transformation,Tag,20.0
regulation,Tag,20.0
Smart Homes/Smart Buildings,Theme,0.0
bms,Tag,0.0
demand management,Tag,0.0
demand response,Tag,0.0
enbala,Tag,0.0
encycle,Tag,0.0
energy efficiency,Tag,0.0
energy management,Tag,0.0
hvac,Tag,0.0
rooftop ac,Tag,0.0
smart thermostat,Tag,0.0
venture capital,Tag,0.0
Wind,Theme,8.0
editors news feed,Tag,8.0
rex tillerson,Tag,8.0
trump,Tag,8.0
Grid Edge,Theme,0.0
acuity brands,Tag,0.0
chargepoint,Tag,0.0
energy jobs,Tag,0.0
enertech search,Tag,0.0
enertechsearch,Tag,0.0
google,Tag,0.0
green jobs,Tag,0.0
jobs,Tag,0.0
john woolard,Tag,0.0
mateo jaramillo,Tag,0.0
tesla,Tag,0.0
Energy Storage,Theme,21.0
batteries,Tag,21.0
caes,Tag,21.0
flow batteries,Tag,21.0
lazard,Tag,21.0
lithium-ion,Tag,21.0
pumped hydro,Tag,21.0
storage,Tag,21.0
