Year,State,Industry Sector Category,Residential,Commercial,Industrial,Transportation,Other,Total
2015,NH,Full-Service Providers,"3,741,907","1,856,213","352,683",0,NA,"5,950,803"
2015,NJ,Full-Service Providers,"25,284,840","12,885,157","1,499,134","11,478",NA,"39,680,609"
2015,NM,Full-Service Providers,"6,641,724","8,877,046","7,574,783",0,NA,"23,093,553"
2015,NV,Full-Service Providers,"12,338,538","8,623,343","12,744,158","8,344",NA,"33,714,383"
2015,NY,Full-Service Providers,"41,485,518","25,507,292","3,038,367","369,855",NA,"70,401,032"
2015,OH,Full-Service Providers,"29,116,452","10,877,354","11,870,377","3,545",NA,"51,867,728"
2015,OK,Full-Service Providers,"22,615,824","20,691,105","18,029,456",0,NA,"61,336,385"
2015,OR,Full-Service Providers,"18,269,007","15,362,358","11,714,406","24,125",NA,"45,369,896"
2015,PA,Full-Service Providers,"35,086,308","10,291,505","2,666,653",0,NA,"48,044,466"
2015,RI,Full-Service Providers,"2,875,841","1,494,953","189,479",0,NA,"4,560,273"
2015,SC,Full-Service Providers,"30,059,188","21,927,007","29,342,051",0,NA,"81,328,246"
2015,SD,Full-Service Providers,"4,571,325","4,748,637","2,782,017",0,NA,"12,101,979"
2015,TN,Full-Service Providers,"41,667,411","34,981,552","22,983,145",0,NA,"99,632,108"
2015,TX,Full-Service Providers,"145,651,913","136,323,562","110,182,265","179,614",NA,"392,337,354"
2015,UT,Full-Service Providers,"9,117,153","11,614,593","9,404,984","55,620",NA,"30,192,350"
2015,VA,Full-Service Providers,"45,928,411","48,159,481","17,477,671","196,432",NA,"111,761,995"
2015,VT,Full-Service Providers,"2,088,940","2,010,568","1,421,601",0,NA,"5,521,109"
2015,WA,Full-Service Providers,"34,071,987","29,197,359","24,828,368","5,288",NA,"88,103,002"
2015,WI,Full-Service Providers,"21,214,787","23,514,103","23,969,851",191,NA,"68,698,932"
2015,WV,Full-Service Providers,"11,437,451","7,800,740","13,064,835",0,NA,"32,303,026"
2015,WY,Full-Service Providers,"2,676,702","3,924,590","10,323,470",0,NA,"16,924,762"
2015,US,Full-Service Providers,"1,307,918,081","1,089,268,864","805,111,979","1,749,450",NA,"3,204,048,374"
2015,CA,Energy-Only Providers,"1,781,091","16,171,913","10,498,959","370,685",NA,"28,822,648"
2015,CT,Energy-Only Providers,"4,528,435","9,670,866","2,606,343","192,721",NA,"16,998,365"
2015,DC,Energy-Only Providers,"576,437","6,901,656","238,232","333,832",NA,"8,050,157"
2015,DE,Energy-Only Providers,"342,587","2,482,476","1,530,698",0,NA,"4,355,761"
2015,IL,Energy-Only Providers,"21,447,366","34,560,018","36,541,141","523,846",NA,"93,072,371"
2015,MA,Energy-Only Providers,"4,577,709","18,581,318","4,707,440","353,266",NA,"28,219,733"
2015,MD,Energy-Only Providers,"5,848,626","22,873,029","3,399,659","535,953",NA,"32,657,267"
2015,ME,Energy-Only Providers,"937,421","2,263,216","2,961,164",0,NA,"6,161,801"
2015,MI,Energy-Only Providers,507,"4,050,188","5,254,317",0,NA,"9,305,012"
2015,MT,Energy-Only Providers,6,"140,950","2,580,940",0,NA,"2,721,896"
2015,NH,Energy-Only Providers,"785,041","2,634,960","1,628,345",0,NA,"5,048,346"
2015,NJ,Energy-Only Providers,"3,857,443","25,837,573","5,821,264","292,734",NA,"35,809,014"
2015,NV,Energy-Only Providers,0,"990,654","1,314,653",0,NA,"2,305,307"
2015,NY,Energy-Only Providers,"9,527,227","51,498,333","15,040,833","2,446,230",NA,"78,512,623"
2015,OH,Energy-Only Providers,"22,376,502","36,246,569","38,686,298","36,127",NA,"97,345,496"
2015,OR,Energy-Only Providers,0,"658,708","1,235,370",0,NA,"1,894,078"
2015,PA,Energy-Only Providers,"19,332,355","33,453,668","44,737,619","775,920",NA,"98,299,562"
2015,RI,Energy-Only Providers,"259,665","2,209,859","609,053","25,868",NA,"3,104,445"
2015,VA,Energy-Only Providers,0,"187,556","59,494",0,NA,"247,050"
2015,WA,Energy-Only Providers,0,"69,153","1,943,931",0,NA,"2,013,084"
2015,US,Energy-Only Providers,"96,178,418","271,482,663","181,395,753","5,887,182",NA,"554,944,016"
2014,AK,Total Electric Industry,"2,043,614","2,761,518","1,359,680",0,NA,"6,164,812"
2014,AL,Total Electric Industry,"32,929,598","22,929,309","34,634,820",0,NA,"90,493,727"
2014,AR,Total Electric Industry,"18,441,119","11,988,033","16,650,718",431,NA,"47,080,301"
2014,AZ,Total Electric Industry,"32,346,079","29,289,879","14,661,727",0,NA,"76,297,685"
2014,CA,Total Electric Industry,"89,360,680","119,494,062","52,898,430","831,614",NA,"262,584,786"
2014,CO,Total Electric Industry,"18,092,932","20,129,360","15,110,188","64,041",NA,"53,396,521"
2014,CT,Total Electric Industry,"12,777,579","12,893,531","3,514,798","168,552",NA,"29,354,460"
2014,DC,Total Electric Industry,"2,072,205","8,548,237","242,149","330,998",NA,"11,193,589"
2014,DE,Total Electric Industry,"4,644,841","4,197,298","2,496,338",0,NA,"11,338,477"
2014,FL,Total Electric Industry,"116,535,263","92,925,670","16,522,425","94,753",NA,"226,078,111"
2014,GA,Total Electric Industry,"57,167,387","46,608,275","31,849,136","165,134",NA,"135,789,932"
2014,HI,Total Electric Industry,"2,583,770","3,201,898","3,689,784",0,NA,"9,475,452"
2014,IA,Total Electric Industry,"14,426,582","12,339,098","20,436,173",0,NA,"47,201,853"
2014,ID,Total Electric Industry,"8,134,913","6,127,911","8,970,460",0,NA,"23,233,284"
2014,IL,Total Electric Industry,"46,009,458","50,619,480","44,329,683","581,666",NA,"141,540,287"
2014,IN,Total Electric Industry,"33,703,965","24,129,606","49,088,427","20,506",NA,"106,942,504"
2014,KS,Total Electric Industry,"13,684,952","15,382,745","11,493,909",0,NA,"40,561,606"
2014,KY,Total Electric Industry,"27,399,768","19,156,540","32,282,616",0,NA,"78,838,924"
2014,LA,Total Electric Industry,"31,400,683","24,492,775","34,723,345","11,513",NA,"90,628,316"
2014,MA,Total Electric Industry,"20,071,160","26,076,208","7,960,941","360,983",NA,"54,469,292"
2014,MD,Total Electric Industry,"27,487,633","29,804,342","3,847,954","543,940",NA,"61,683,869"
2014,ME,Total Electric Industry,"4,660,605","3,984,570","3,357,486",0,NA,"12,002,661"
2014,MI,Total Electric Industry,"33,514,991","37,348,927","32,445,935","4,245",NA,"103,314,098"
2014,MN,Total Electric Industry,"22,791,466","22,827,840","23,076,348","23,713",NA,"68,719,367"
2014,MO,Total Electric Industry,"35,792,644","30,665,251","17,398,747","21,755",NA,"83,878,397"
2014,MS,Total Electric Industry,"18,922,097","14,174,583","16,311,951",0,NA,"49,408,631"
2014,MT,Total Electric Industry,"4,969,243","4,903,160","4,229,989",0,NA,"14,102,392"
2014,NC,Total Electric Industry,"58,649,994","47,509,563","26,964,549","8,670",NA,"133,132,776"
2014,ND,Total Electric Industry,"5,357,514","5,403,497","7,478,721",0,NA,"18,239,732"
2014,NE,Total Electric Industry,"10,028,238","9,525,524","10,668,406",0,NA,"30,222,168"
2014,NH,Total Electric Industry,"4,510,487","4,464,530","1,969,064",0,NA,"10,944,081"
2014,NJ,Total Electric Industry,"27,892,582","38,154,090","7,516,616","302,790",NA,"73,866,078"
2014,NM,Total Electric Industry,"6,611,970","8,976,354","7,526,898",0,NA,"23,115,222"
2014,NV,Total Electric Industry,"11,916,521","9,418,091","13,732,695","8,299",NA,"35,075,606"
2014,NY,Total Electric Industry,"49,974,914","76,540,813","18,002,976","2,853,210",NA,"147,371,913"
2014,OH,Total Electric Industry,"52,804,334","47,004,594","50,829,251","41,534",NA,"150,679,713"
2014,OK,Total Electric Industry,"23,351,144","20,448,774","17,773,456",0,NA,"61,573,374"
2014,OR,Total Electric Industry,"18,617,613","16,039,418","12,654,475","23,447",NA,"47,334,953"
2014,PA,Total Electric Industry,"54,195,335","43,347,918","48,317,693","826,752",NA,"146,687,698"
2014,RI,Total Electric Industry,"3,070,347","3,657,679","887,150","27,928",NA,"7,643,104"
2014,SC,Total Electric Industry,"30,715,986","21,655,593","29,248,186",0,NA,"81,619,765"
2014,SD,Total Electric Industry,"4,827,368","4,572,324","2,955,034",0,NA,"12,354,726"
2014,TN,Total Electric Industry,"42,538,248","33,497,350","24,182,470","1,162",NA,"100,219,230"
2014,TX,Total Electric Industry,"140,899,744","139,432,095","109,165,495","172,486",NA,"389,669,820"
2014,UT,Total Electric Industry,"8,963,971","11,053,251","9,965,115","60,682",NA,"30,043,019"
2014,VA,Total Electric Industry,"46,443,716","47,751,655","17,700,993","202,017",NA,"112,098,381"
2014,VT,Total Electric Industry,"2,121,347","2,030,520","1,417,994",0,NA,"5,569,861"
2014,WA,Total Electric Industry,"35,082,958","29,040,310","28,012,775","4,734",NA,"92,140,777"
2014,WI,Total Electric Industry,"21,925,712","23,757,494","23,811,549",0,NA,"69,494,755"
2014,WV,Total Electric Industry,"11,990,728","7,876,429","12,828,949",0,NA,"32,696,106"
2014,WY,Total Electric Industry,"2,752,313","4,000,291","10,381,471",0,NA,"17,134,075"
2014,US,Total Electric Industry,"1,407,208,311","1,352,158,263","997,576,138","7,757,555",NA,"3,764,700,267"
2014,AK,Full-Service Providers,"2,043,614","2,761,518","1,359,680",0,NA,"6,164,812"
2014,AL,Full-Service Providers,"32,929,598","22,929,309","34,634,820",0,NA,"90,493,727"
2014,AR,Full-Service Providers,"18,441,119","11,988,033","16,650,718",431,NA,"47,080,301"
2014,AZ,Full-Service Providers,"32,346,079","29,289,879","14,661,727",0,NA,"76,297,685"
2014,CA,Full-Service Providers,"88,668,196","103,986,298","42,468,758","467,552",NA,"235,590,804"
2014,CO,Full-Service Providers,"18,092,932","20,129,360","15,110,188","64,041",NA,"53,396,521"
2014,CT,Full-Service Providers,"7,878,710","3,683,751","1,070,403","65,305",NA,"12,698,169"
2014,DC,Full-Service Providers,"1,734,144","1,282,857",0,0,NA,"3,017,001"
2014,DE,Full-Service Providers,"4,309,510","1,641,563","875,898",0,NA,"6,826,971"
2014,FL,Full-Service Providers,"116,535,263","92,925,670","16,522,425","94,753",NA,"226,078,111"
2014,GA,Full-Service Providers,"57,167,387","46,608,275","31,849,136","165,134",NA,"135,789,932"
2014,HI,Full-Service Providers,"2,583,770","3,201,898","3,689,784",0,NA,"9,475,452"
2014,IA,Full-Service Providers,"14,426,582","12,339,098","20,436,173",0,NA,"47,201,853"
2014,ID,Full-Service Providers,"8,134,913","6,127,911","8,970,460",0,NA,"23,233,284"
2014,IL,Full-Service Providers,"20,672,982","15,626,491","6,958,992",0,NA,"43,258,465"
2014,IN,Full-Service Providers,"33,703,965","24,129,606","49,088,427","20,506",NA,"106,942,504"
2014,KS,Full-Service Providers,"13,684,952","15,382,745","11,493,909",0,NA,"40,561,606"
2014,KY,Full-Service Providers,"27,399,768","19,156,540","32,282,616",0,NA,"78,838,924"
2014,LA,Full-Service Providers,"31,400,683","24,492,775","34,723,345","11,513",NA,"90,628,316"
2014,MA,Full-Service Providers,"16,890,998","9,322,483","3,472,270",277,NA,"29,686,028"
2014,MD,Full-Service Providers,"20,958,071","7,793,901","651,645",0,NA,"29,403,617"
2014,ME,Full-Service Providers,"83,418","47,858","32,867",0,NA,"164,143"
2014,MI,Full-Service Providers,"33,514,419","33,278,935","25,064,619","4,245",NA,"91,862,218"
2014,MN,Full-Service Providers,"22,791,466","22,827,840","23,076,348","23,713",NA,"68,719,367"
2014,MO,Full-Service Providers,"35,792,644","30,665,251","17,398,747","21,755",NA,"83,878,397"
2014,MS,Full-Service Providers,"18,922,097","14,174,583","16,311,951",0,NA,"49,408,631"
2014,MT,Full-Service Providers,"4,969,236","4,767,778","1,755,043",0,NA,"11,492,057"
2014,NC,Full-Service Providers,"58,649,994","47,509,563","26,964,549","8,670",NA,"133,132,776"
2014,ND,Full-Service Providers,"5,357,514","5,403,497","7,478,721",0,NA,"18,239,732"
2014,NE,Full-Service Providers,"10,028,238","9,525,524","10,668,406",0,NA,"30,222,168"
2014,NH,Full-Service Providers,"3,655,513","1,923,404","356,259",0,NA,"5,935,176"
2014,NJ,Full-Service Providers,"23,325,022","11,709,061","1,536,942",0,NA,"36,571,025"
2014,NM,Full-Service Providers,"6,611,970","8,976,354","7,526,898",0,NA,"23,115,222"
2014,NV,Full-Service Providers,"11,916,521","8,410,383","12,607,492","8,299",NA,"32,942,695"
2014,NY,Full-Service Providers,"39,991,040","26,261,032","3,260,948","362,980",NA,"69,876,000"
2014,OH,Full-Service Providers,"29,283,170","10,920,751","13,294,627","3,706",NA,"53,502,254"
2014,OK,Full-Service Providers,"23,351,144","20,448,774","17,773,456",0,NA,"61,573,374"
2014,OR,Full-Service Providers,"18,617,613","15,354,984","11,497,026","23,447",NA,"45,493,070"
2014,PA,Full-Service Providers,"33,444,736","10,257,543","2,792,476",0,NA,"46,494,755"
2014,RI,Full-Service Providers,"2,887,769","1,911,994","274,702",0,NA,"5,074,465"
2014,SC,Full-Service Providers,"30,715,986","21,655,593","29,248,186",0,NA,"81,619,765"
2014,SD,Full-Service Providers,"4,827,368","4,572,324","2,955,034",0,NA,"12,354,726"
2014,TN,Full-Service Providers,"42,538,248","33,497,350","24,182,470","1,162",NA,"100,219,230"
2014,TX,Full-Service Providers,"140,899,744","139,432,095","109,165,495","172,486",NA,"389,669,820"
2014,UT,Full-Service Providers,"8,963,971","11,053,251","9,965,115","60,682",NA,"30,043,019"
2014,VA,Full-Service Providers,"46,443,716","47,715,912","17,693,271","202,017",NA,"112,054,916"
2014,VT,Full-Service Providers,"2,121,347","2,030,520","1,417,994",0,NA,"5,569,861"
2014,WA,Full-Service Providers,"35,082,958","29,040,310","25,913,556","4,734",NA,"90,041,558"
2014,WI,Full-Service Providers,"21,925,712","23,757,494","23,811,549",0,NA,"69,494,755"
2014,WV,Full-Service Providers,"11,990,728","7,876,429","12,828,949",0,NA,"32,696,106"
2014,WY,Full-Service Providers,"2,752,313","4,000,291","10,381,471",0,NA,"17,134,075"
2014,US,Full-Service Providers,"1,301,458,851","1,083,806,639","814,206,541","1,787,408",NA,"3,201,259,439"
2014,CA,Energy-Only Providers,"692,484","15,507,764","10,429,672","364,062",NA,"26,993,982"
2014,CT,Energy-Only Providers,"4,898,869","9,209,780","2,444,395","103,247",NA,"16,656,291"
2014,DC,Energy-Only Providers,"338,061","7,265,380","242,149","330,998",NA,"8,176,588"
2014,DE,Energy-Only Providers,"335,331","2,555,735","1,620,440",0,NA,"4,511,506"
2014,IL,Energy-Only Providers,"25,336,476","34,992,989","37,370,691","581,666",NA,"98,281,822"
2014,MA,Energy-Only Providers,"3,180,162","16,753,725","4,488,671","360,706",NA,"24,783,264"
2014,MD,Energy-Only Providers,"6,529,562","22,010,441","3,196,309","543,940",NA,"32,280,252"
2014,ME,Energy-Only Providers,"4,577,187","3,936,712","3,324,619",0,NA,"11,838,518"
2014,MI,Energy-Only Providers,572,"4,069,992","7,381,316",0,NA,"11,451,880"
2014,MT,Energy-Only Providers,7,"135,382","2,474,946",0,NA,"2,610,335"
2014,NH,Energy-Only Providers,"854,974","2,541,126","1,612,805",0,NA,"5,008,905"
2014,NJ,Energy-Only Providers,"4,567,560","26,445,029","5,979,674","302,790",NA,"37,295,053"
2014,NV,Energy-Only Providers,0,"1,007,708","1,125,203",0,NA,"2,132,911"
2014,NY,Energy-Only Providers,"9,983,874","50,279,781","14,742,028","2,490,230",NA,"77,495,913"
2014,OH,Energy-Only Providers,"23,521,164","36,083,843","37,534,624","37,828",NA,"97,177,459"
2014,OR,Energy-Only Providers,0,"684,434","1,157,449",0,NA,"1,841,883"
2014,PA,Energy-Only Providers,"20,750,599","33,090,375","45,525,217","826,752",NA,"100,192,943"
2014,RI,Energy-Only Providers,"182,578","1,745,685","612,448","27,928",NA,"2,568,639"
2014,VA,Energy-Only Providers,0,"35,743","7,722",0,NA,"43,465"
2014,WA,Energy-Only Providers,0,0,"2,099,219",0,NA,"2,099,219"
2014,US,Energy-Only Providers,"105,749,460","268,351,624","183,369,597","5,970,147",NA,"563,440,828"
2013,AK,Total Electric Industry,"2,103,966","2,824,199","1,340,047",0,NA,"6,268,212"
2013,AL,Total Electric Industry,"31,378,659","22,603,229","33,870,219",0,NA,"87,852,107"
2013,AR,Total Electric Industry,"18,219,287","11,897,953","16,565,377",417,NA,"46,683,034"
2013,AZ,Total Electric Industry,"33,103,602","30,039,018","12,519,417",0,NA,"75,662,037"
2013,CA,Total Electric Industry,"89,241,934","116,857,853","54,396,999","835,673",NA,"261,332,459"
2013,CO,Total Electric Industry,"18,528,908","20,098,218","14,752,859","61,664",NA,"53,441,649"
2013,CT,Total Electric Industry,"13,135,451","13,009,103","3,490,140","189,822",NA,"29,824,516"
2013,DC,Total Electric Industry,"2,033,618","8,499,143","227,385","325,373",NA,"11,085,519"
2013,DE,Total Electric Industry,"4,570,013","4,157,793","2,620,050",0,NA,"11,347,856"
2013,FL,Total Electric Industry,"113,293,913","92,144,612","16,389,522","91,467",NA,"221,919,514"
2013,GA,Total Electric Industry,"53,544,411","45,353,153","31,443,424","156,482",NA,"130,497,470"
2013,HI,Total Electric Industry,"2,608,853","3,271,200","3,623,111",0,NA,"9,503,164"
2013,IA,Total Electric Industry,"14,625,866","12,444,635","19,634,715",0,NA,"46,705,216"
2013,ID,Total Electric Industry,"8,619,262","6,250,297","9,338,497",0,NA,"24,208,056"
2013,IL,Total Electric Industry,"46,372,234","50,472,706","44,386,770","573,178",NA,"141,804,888"
2013,IN,Total Electric Industry,"33,406,630","24,252,010","47,807,527","21,222",NA,"105,487,389"
2013,KS,Total Electric Industry,"13,593,003","15,245,028","11,009,366",0,NA,"39,847,397"
2013,KY,Total Electric Industry,"26,788,098","21,004,194","36,971,550",0,NA,"84,763,842"
2013,LA,Total Electric Industry,"30,709,206","24,253,945","30,833,438","11,343",NA,"85,807,932"
2013,MA,Total Electric Industry,"20,727,624","17,713,103","16,463,343","361,004",NA,"55,265,074"
2013,MD,Total Electric Industry,"27,448,367","29,966,199","3,943,942","540,970",NA,"61,899,478"
2013,ME,Total Electric Industry,"4,662,303","4,015,604","3,177,140",0,NA,"11,855,047"
2013,MI,Total Electric Industry,"34,013,168","37,697,520","31,321,534","6,083",NA,"103,038,305"
2013,MN,Total Electric Industry,"22,849,542","23,041,186","22,734,273","19,102",NA,"68,644,103"
2013,MO,Total Electric Industry,"35,318,204","30,515,252","17,551,296","22,205",NA,"83,406,957"
2013,MS,Total Electric Industry,"18,462,415","14,187,814","16,131,761",0,NA,"48,781,990"
2013,MT,Total Electric Industry,"4,926,471","4,889,642","4,229,061",0,NA,"14,045,174"
2013,NC,Total Electric Industry,"56,251,297","46,648,766","26,872,437","7,405",NA,"129,779,905"
2013,ND,Total Electric Industry,"5,038,846","5,685,146","5,308,975",0,NA,"16,032,967"
2013,NE,Total Electric Industry,"10,062,159","9,387,074","11,251,372",0,NA,"30,700,605"
2013,NH,Total Electric Industry,"4,553,871","4,516,866","1,972,539",0,NA,"11,043,276"
2013,NJ,Total Electric Industry,"28,544,638","38,231,099","7,565,722","300,940",NA,"74,642,399"
2013,NM,Total Electric Industry,"6,803,987","8,982,563","7,278,476",0,NA,"23,065,026"
2013,NV,Total Electric Industry,"12,142,431","9,301,939","13,758,569","8,276",NA,"35,211,215"
2013,NY,Total Electric Industry,"50,777,369","76,342,319","17,910,950","2,864,489",NA,"147,895,127"
2013,OH,Total Electric Industry,"52,158,094","46,717,859","51,387,011","44,054",NA,"150,307,018"
2013,OK,Total Electric Industry,"23,199,968","19,843,129","16,886,075",0,NA,"59,929,172"
2013,OR,Total Electric Industry,"19,328,558","16,080,354","12,209,593","22,473",NA,"47,640,978"
2013,PA,Total Electric Industry,"54,251,847","43,145,011","48,043,117","813,788",NA,"146,253,763"
2013,RI,Total Electric Industry,"3,164,692","3,667,095","922,911","26,424",NA,"7,781,122"
2013,SC,Total Electric Industry,"28,812,518","21,120,198","28,669,378",0,NA,"78,602,094"
