Year,Month,State,Utility Number,Utility Name,Data Status,Residential.Capacity,Commercial.Capacity,Industrial.Capacity,Transportation.Capacity,Total.Capacity,Residential.Customers,Commercial.Customers,Industrial.Customers,Transportation.Customers,Total.Customers
2015,1,CT,4176,Connecticut Light & Power Co,Final,44.090,58.535,8.145,0.000,110.770,"6,615",646,20,0,"7,281"
2015,1,CT,7716,Groton Dept of Utilities - (CT),Final,0.009,0.000,0.000,0.000,0.009,2,0,0,0,2
2015,1,CT,19497,United Illuminating Co,Final,6.386,8.454,1.512,0.000,16.352,"1,052",86,12,0,"1,150"
2015,1,CT,20038,Town of Wallingford - (CT),Final,0.010,0.263,0.000,0.000,0.273,3,2,0,0,5
2015,1,CT,99999,State Adjustment,Final,.,.,.,.,0.000,.,.,.,.,.
2015,1,DC,15270,Potomac Electric Power Co,Final,5.954,4.141,0.000,0.000,10.095,"1,425",97,0,0,"1,522"
2015,1,DC,99999,State Adjustment,Final,.,.,.,.,0.000,.,.,.,.,.
2015,1,DE,5027,Delmarva Power,Final,10.236,10.219,2.505,0.000,22.960,"1,572",196,8,0,"1,776"
2015,1,DE,5070,Delaware Electric Cooperative,Final,2.014,1.725,0.000,0.000,3.739,352,29,0,0,381
2015,1,DE,5335,City of Dover - (DE),Final,0.176,0.832,0.000,0.000,1.008,27,20,0,0,47
2015,1,DE,13519,City of Newark - (DE),Final,0.046,0.000,0.073,0.000,0.119,45,0,6,0,51
2015,1,DE,99999,State Adjustment,Final,0.025,0.460,.,.,0.485,.,.,.,.,.
2015,1,FL,6452,Florida Power & Light Co,Final,13.690,20.039,0.000,0.000,33.729,"2,557",713,0,0,"3,270"
2015,1,FL,6455,"Duke Energy Florida, Inc",Final,9.595,7.870,1.151,0.000,18.616,"1,847",291,6,0,"2,144"
2015,1,FL,6457,Florida Public Utilities Co,Final,0.296,0.000,0.000,0.000,0.296,62,0,0,0,62
2015,1,FL,7801,Gulf Power Co,Final,1.339,0.222,0.000,0.000,1.561,270,105,0,0,375
2015,1,FL,9617,JEA,Final,1.427,0.382,0.000,0.000,1.809,239,27,0,0,266
2015,1,FL,18454,Tampa Electric Co,Final,3.275,4.698,0.000,0.000,7.973,490,94,0,0,584
2015,1,FL,99999,State Adjustment,Final,7.732,8.761,0.106,.,16.599,.,.,.,.,.
2015,1,GA,3916,Cobb Electric Membership Corp,Final,0.185,0.085,0.000,0.000,0.270,32,5,0,0,37
2015,1,GA,99999,State Adjustment,Final,2.785,2.360,0.910,.,6.055,.,.,.,.,.
2015,1,HI,8287,Hawaii Electric Light Co Inc,Final,34.147,12.951,0.000,0.000,47.098,"7,170",453,0,0,"7,623"
2015,1,HI,10071,Kauai Island Utility Cooperative,Final,8.583,5.123,0.000,0.000,13.706,"2,234",193,0,0,"2,427"
2015,1,HI,11843,Maui Electric Co Ltd,Final,35.254,13.907,0.000,0.000,49.161,"6,783",511,0,0,"7,294"
2015,1,HI,19547,Hawaiian Electric Co Inc,Final,157.112,29.995,0.000,0.000,187.107,"34,550",859,0,0,"35,409"
2015,1,HI,99999,State Adjustment,Final,.,.,.,.,0.000,.,.,.,.,.
2015,1,IA,9417,Interstate Power and Light Co,Final,6.878,16.664,0.705,0.000,24.247,700,584,23,0,"1,307"
2015,1,IA,12341,MidAmerican Energy Co,Final,0.661,1.484,2.296,0.000,4.441,109,54,3,0,166
2015,1,IA,99999,State Adjustment,Final,2.246,0.218,0.063,.,2.527,.,.,.,.,.
2015,1,ID,9187,City of Idaho Falls - (ID),Final,0.008,0.042,0.000,0.000,0.050,3,3,0,0,6
2015,1,ID,9191,Idaho Power Co,Final,1.903,1.545,0.040,0.000,3.488,421,96,1,0,518
2015,1,ID,10454,Kootenai Electric Cooperative,Final,0.076,0.000,0.000,0.000,0.076,18,0,0,0,18
2015,1,ID,11273,Lower Valley Energy Inc,Final,0.024,0.000,0.000,0.000,0.024,3,0,0,0,3
2015,1,ID,14354,PacifiCorp,Final,0.475,0.362,0.000,0.000,0.837,111,24,0,0,135
2015,1,ID,20169,Avista Corp,Final,0.160,0.226,0.000,0.000,0.386,35,11,0,0,46
2015,1,ID,99999,State Adjustment,Final,0.076,.,.,.,0.076,.,.,.,.,.
2015,1,IL,4110,Commonwealth Edison Co,Final,2.063,4.792,0.000,0.000,6.855,369,79,0,0,448
2015,1,IL,12341,MidAmerican Energy Co,Final,0.057,2.359,0.000,0.000,2.416,12,4,0,0,16
2015,1,IL,13032,Mt Carmel Public Utility Co,Final,0.015,0.010,0.000,0.000,0.025,3,1,0,0,4
2015,1,IL,56697,Ameren Illinois Company,Final,1.861,0.988,0.000,0.000,2.849,333,105,0,0,438
2015,1,IL,99999,State Adjustment,Final,1.419,0.477,0.130,.,2.026,.,.,.,.,.
2015,1,IN,9273,Indianapolis Power & Light Co,Final,0.213,0.095,0.000,0.000,0.308,53,9,0,0,62
2015,1,IN,9324,Indiana Michigan Power Co,Final,0.387,0.251,0.000,0.000,0.638,75,25,0,0,100
2015,1,IN,13756,Northern Indiana Pub Serv Co,Final,0.311,2.261,0.000,0.000,2.572,68,14,0,0,82
2015,1,IN,15470,"Duke Energy Indiana, LLC",Final,1.279,3.214,0.000,0.000,4.493,248,71,0,0,319
2015,1,IN,17633,Southern Indiana Gas & Elec Co,Final,0.558,0.123,0.000,0.000,0.681,82,10,0,0,92
2015,1,IN,99999,State Adjustment,Final,1.174,0.063,0.016,.,1.253,.,.,.,.,.
2015,1,KS,9996,City of Kansas City - (KS),Final,0.025,0.003,0.000,0.000,0.028,4,1,0,0,5
2015,1,KS,10000,Kansas City Power & Light Co,Final,0.203,0.294,0.000,0.000,0.497,45,15,0,0,60
2015,1,KS,10005,Kansas Gas & Electric Co,Final,0.261,0.367,0.000,0.000,0.628,63,14,0,0,77
2015,1,KS,22500,Westar Energy Inc,Final,0.860,1.330,0.000,0.000,2.190,163,53,0,0,216
2015,1,KS,99999,State Adjustment,Final,0.239,0.032,.,.,0.271,.,.,.,.,.
2015,1,KY,9964,Kenergy Corp,Final,0.026,0.000,0.000,0.000,0.026,4,0,0,0,4
2015,1,KY,10171,Kentucky Utilities Co,Final,0.319,0.172,0.000,0.000,0.491,65,16,0,0,81
2015,1,KY,11249,Louisville Gas & Electric Co,Final,0.520,0.264,0.000,0.000,0.784,148,23,0,0,171
2015,1,KY,17564,South Kentucky Rural E C C,Final,0.044,0.000,0.000,0.000,0.044,8,0,0,0,8
2015,1,KY,19446,Duke Energy Kentucky,Final,0.092,0.483,0.000,0.000,0.575,22,10,0,0,32
2015,1,KY,22053,Kentucky Power Co,Final,0.045,0.054,0.000,0.000,0.099,4,4,0,0,8
2015,1,KY,49998,City of Berea Municipal Utility,Final,0.013,0.154,0.000,0.000,0.167,6,5,0,0,11
2015,1,KY,99999,State Adjustment,Final,0.428,0.184,.,.,0.612,.,.,.,.,.
2015,1,LA,3265,Cleco Power LLC,Final,11.325,0.481,0.000,0.000,11.806,"1,852",92,0,0,"1,944"
2015,1,LA,11241,Entergy Louisiana LLC,Final,28.344,0.576,0.000,0.000,28.920,"5,010",169,0,0,"5,179"
2015,1,LA,13478,Entergy New Orleans Inc,Final,26.075,0.797,0.000,0.000,26.872,"5,172",30,0,0,"5,202"
2015,1,LA,17698,Southwestern Electric Power Co,Final,5.657,0.315,0.000,0.000,5.972,977,117,0,0,"1,094"
2015,1,LA,55936,Entergy Gulf States - LA LLC,Final,6.282,0.558,0.000,0.000,6.840,"1,053",298,0,0,"1,351"
2015,1,LA,99999,State Adjustment,Final,8.284,0.391,.,.,8.675,.,.,.,.,.
2015,1,MA,6374,Fitchburg Gas & Elec Light Co,Final,2.195,4.934,0.602,0.000,7.731,363,17,3,0,383
2015,1,MA,8774,City of Holyoke - (MA),Final,0.016,0.004,0.000,0.000,0.020,2,3,0,0,5
2015,1,MA,11804,Massachusetts Electric Co,Final,54.952,275.460,0.000,0.000,330.412,"9,613","1,265",0,0,"10,878"
2015,1,MA,13206,Nantucket Electric Co,Final,0.061,0.360,0.000,0.000,0.421,14,3,0,0,17
2015,1,MA,15748,Town of Reading - (MA),Final,0.170,0.000,0.915,0.000,1.085,27,0,6,0,33
2015,1,MA,20455,Western Massachusetts Electric Company,Final,9.443,25.514,1.342,0.000,36.299,"1,567",161,6,0,"1,734"
2015,1,MA,54913,NSTAR Electric Company,Final,53.555,174.459,26.868,0.000,254.882,"7,892",894,166,0,"8,952"
2015,1,MA,99999,State Adjustment,Final,3.711,2.927,0.288,.,6.926,.,.,.,.,.
2015,1,MD,1167,Baltimore Gas & Electric Co,Final,33.234,29.970,0.000,0.000,63.204,"5,878",306,0,0,"6,184"
2015,1,MD,5027,Delmarva Power,Final,5.343,16.296,1.017,0.000,22.656,626,84,2,0,712
2015,1,MD,15263,The Potomac Edison Company,Final,8.650,7.219,0.880,0.000,16.749,"1,143",74,1,0,"1,218"
2015,1,MD,15270,Potomac Electric Power Co,Final,15.895,16.944,0.000,0.000,32.839,"2,594",90,0,0,"2,684"
2015,1,MD,99999,State Adjustment,Final,8.557,7.916,2.700,.,19.173,.,.,.,.,.
2015,1,ME,1179,Emera Maine,Final,1.567,0.981,0.626,0.000,3.174,357,57,2,0,416
2015,1,ME,3266,Central Maine Power Co,Final,6.885,3.735,0.000,0.000,10.620,"1,409",181,0,0,"1,590"
2015,1,ME,99999,State Adjustment,Final,0.151,0.004,.,.,0.155,.,.,.,.,.
2015,1,MI,392,Alpena Power Co,Final,0.003,0.010,0.000,0.000,0.013,17,1,0,0,18
2015,1,MI,3828,Cloverland Electric Co-op,Final,0.065,0.025,0.000,0.000,0.090,20,7,0,0,27
2015,1,MI,4254,Consumers Energy Co,Final,1.451,1.727,0.000,0.000,3.178,281,71,0,0,352
2015,1,MI,5109,DTE Electric Company,Final,6.051,4.160,0.247,0.000,10.458,937,230,11,0,"1,178"
2015,1,MI,9324,Indiana Michigan Power Co,Final,0.109,0.078,0.006,0.000,0.193,23,6,1,0,30
2015,1,MI,10704,City of Lansing - (MI),Final,0.006,0.008,0.000,0.000,0.014,3,2,0,0,5
2015,1,MI,19578,Upper Peninsula Power Company,Final,0.263,0.003,0.000,0.000,0.266,67,3,0,0,70
2015,1,MI,20847,Wisconsin Electric Power Co,Final,0.091,0.038,0.000,0.000,0.129,19,6,0,0,25
2015,1,MI,20860,Wisconsin Public Service Corp,Final,0.013,0.000,0.000,0.000,0.013,5,0,0,0,5
2015,1,MI,99999,State Adjustment,Final,0.536,0.540,0.272,.,1.348,.,.,.,.,.
2015,1,MN,689,Connexus Energy,Final,0.224,0.000,0.160,0.000,0.384,30,0,1,0,31
2015,1,MN,5574,East Central Energy,Final,0.303,0.136,0.000,0.000,0.439,31,10,0,0,41
2015,1,MN,9417,Interstate Power and Light Co,Final,0.465,0.229,0.020,0.000,0.714,22,9,1,0,32
2015,1,MN,12647,"ALLETE, Inc.",Final,0.519,0.409,0.002,0.000,0.930,89,30,1,0,120
2015,1,MN,13781,Northern States Power Co - Minnesota,Final,4.043,8.268,0.974,0.000,13.285,658,296,30,0,984
2015,1,MN,14232,Otter Tail Power Co,Final,0.148,0.251,0.000,0.000,0.399,12,16,0,0,28
2015,1,MN,16181,Rochester Public Utilities,Final,0.169,0.075,0.000,0.000,0.244,30,4,0,0,34
2015,1,MN,17267,Sioux Valley SW Elec Coop,Final,0.158,0.063,0.000,0.000,0.221,6,3,0,0,9
2015,1,MN,20996,Wright-Hennepin Coop Elec Assn,Final,0.140,0.022,0.000,0.000,0.162,11,2,0,0,13
2015,1,MN,25177,Dakota Electric Association,Final,0.229,0.245,0.000,0.000,0.474,29,15,0,0,44
2015,1,MN,99999,State Adjustment,Final,2.194,0.883,0.042,.,3.119,.,.,.,.,.
2015,1,MO,4675,Cuivre River Electric Coop Inc,Final,0.047,0.000,0.000,0.000,0.047,7,0,0,0,7
2015,1,MO,5860,Empire District Electric Co,Final,0.169,0.142,0.030,0.000,0.341,38,6,2,0,46
2015,1,MO,9231,City of Independence - (MO),Final,0.004,0.081,0.000,0.000,0.085,2,7,0,0,9
2015,1,MO,10000,Kansas City Power & Light Co,Final,3.371,12.415,0.000,0.000,15.786,285,560,0,0,845
2015,1,MO,12698,KCP&L Greater Missouri Operations Co.,Final,15.824,13.814,0.557,0.000,30.195,847,615,18,0,"1,480"
2015,1,MO,17833,City Utilities of Springfield - (MO),Final,0.024,0.062,0.000,0.000,0.086,8,4,0,0,12
2015,1,MO,19436,Union Electric Co - (MO),Final,20.244,29.888,0.000,0.000,50.132,"2,206","1,344",0,0,"3,550"
2015,1,MO,99999,State Adjustment,Final,1.821,0.311,.,.,2.132,.,.,.,.,.
2015,1,MS,3841,Coast Electric Power Assn,Final,0.046,0.110,0.650,0.000,0.806,8,2,1,0,11
2015,1,MS,17647,Southern Pine Elec Power Assn,Final,0.015,0.015,0.000,0.000,0.030,1,1,0,0,2
2015,1,MS,99999,State Adjustment,Final,0.082,.,.,.,0.082,.,.,.,.,.
2015,1,MT,6395,Flathead Electric Coop Inc,Final,0.120,0.026,0.000,0.000,0.146,30,6,0,0,36
2015,1,MT,12692,"Missoula Electric Coop, Inc",Final,0.085,0.015,0.000,0.000,0.100,18,2,0,0,20
2015,1,MT,12825,NorthWestern Energy LLC - (MT),Final,3.665,2.187,0.000,0.000,5.852,"1,078",297,0,0,"1,375"
2015,1,MT,19603,USBIA-Mission Valley Power,Final,0.045,0.000,0.000,0.000,0.045,13,0,0,0,13
2015,1,MT,20997,Yellowstone Valley Elec Co-op,Final,0.077,0.000,0.000,0.000,0.077,11,0,0,0,11
2015,1,MT,99999,State Adjustment,Final,0.383,0.121,.,.,0.504,.,.,.,.,.
2015,1,NC,3046,Duke Energy Progress - (NC),Final,4.372,4.694,0.000,0.000,9.066,"1,081",94,0,0,"1,175"
2015,1,NC,5416,"Duke Energy Carolinas, LLC",Final,3.590,3.857,1.111,0.000,8.558,786,88,3,0,877
2015,1,NC,9837,Jones-Onslow Elec Member Corp,Final,0.065,0.000,0.000,0.000,0.065,16,0,0,0,16
2015,1,NC,16496,Rutherford Elec Member Corp,Final,0.256,0.000,0.000,0.000,0.256,49,0,0,0,49
2015,1,NC,19876,Virginia Electric & Power Co,Final,0.079,0.070,0.000,0.000,0.149,18,12,0,0,30
2015,1,NC,24889,Brunswick Electric Member Corp,Final,0.496,0.290,0.000,0.000,0.786,62,6,0,0,68
2015,1,NC,99999,State Adjustment,Final,1.075,0.800,.,.,1.875,.,.,.,.,.
2015,1,ND,12301,Nodak Electric Coop Inc,Final,0.180,0.000,0.030,0.000,0.210,10,0,1,0,11
2015,1,ND,14232,Otter Tail Power Co,Final,0.014,0.056,0.000,0.000,0.070,2,3,0,0,5
2015,1,ND,19790,Verendrye Electric Coop Inc,Final,0.034,0.000,0.000,0.000,0.034,4,0,0,0,4
2015,1,ND,24949,Cass County Elec Coop Inc,Final,0.418,0.000,0.000,0.000,0.418,37,0,0,0,37
2015,1,ND,99999,State Adjustment,Final,.,.,.,.,0.000,.,.,.,.,.
2015,1,NE,4373,Cornhusker Public Power Dist,Final,0.043,0.000,0.000,0.000,0.043,3,0,0,0,3
2015,1,NE,6779,City of Fremont - (NE),Final,0.006,0.000,0.000,0.000,0.006,1,0,0,0,1
2015,1,NE,11018,Lincoln Electric System,Final,0.158,0.060,0.008,0.000,0.226,28,13,2,0,43
2015,1,NE,11251,Loup River Public Power Dist,Final,0.000,0.000,0.058,0.000,0.058,0,0,2,0,2
2015,1,NE,12539,Midwest Electric Member Corp,Final,0.052,0.000,0.000,0.000,0.052,3,0,0,0,3
2015,1,NE,13337,Nebraska Public Power District,Final,0.079,0.158,0.000,0.000,0.237,14,27,0,0,41
2015,1,NE,13664,Norris Public Power District,Final,0.186,0.015,0.000,0.000,0.201,16,2,0,0,18
2015,1,NE,14127,Omaha Public Power District,Final,0.193,0.035,0.000,0.000,0.228,33,5,0,0,38
2015,1,NE,17642,Southern Public Power District,Final,0.032,0.003,0.000,0.000,0.035,7,1,0,0,8
2015,1,NE,99999,State Adjustment,Final,0.124,0.018,.,.,0.142,.,.,.,.,.
2015,1,NH,13441,New Hampshire Elec Coop Inc,Final,2.136,0.619,0.276,0.000,3.031,434,38,3,0,475
2015,1,NH,15472,Public Service Co of NH,Final,5.481,4.043,0.302,0.000,9.826,"1,055",201,8,0,"1,264"
2015,1,NH,24590,Unitil Energy Systems,Final,0.747,0.443,0.156,0.000,1.346,131,22,3,0,156
2015,1,NH,26510,Liberty Utilities (Granite State Electri,Final,0.618,0.176,0.000,0.000,0.794,133,10,0,0,143
2015,1,NH,99999,State Adjustment,Final,0.079,.,.,.,0.079,.,.,.,.,.
2015,1,NJ,963,Atlantic City Electric Co,Final,50.934,76.104,20.074,0.000,147.112,"6,294",724,36,0,"7,054"
2015,1,NJ,9726,Jersey Central Power & Lt Co,Final,96.405,161.161,13.337,0.000,270.903,"11,809","1,255",26,0,"13,090"
2015,1,NJ,15477,Public Service Elec & Gas Co,Final,62.747,362.328,7.892,0.000,432.967,"10,804","2,063",24,0,"12,891"
2015,1,NJ,16213,Rockland Electric Co,Final,1.484,9.965,0.072,0.000,11.521,184,89,1,0,274
2015,1,NJ,99999,State Adjustment,Final,0.947,3.679,9.226,.,13.852,.,.,.,.,.
2015,1,NM,3287,"Central Valley Elec Coop, Inc",Final,0.011,0.000,0.000,0.000,0.011,3,0,0,0,3
2015,1,NM,5701,El Paso Electric Co,Final,8.230,1.938,0.000,0.000,10.168,"1,716",99,0,0,"1,815"
2015,1,NM,6204,City of Farmington - (NM),Final,0.278,0.030,0.000,0.000,0.308,65,6,0,0,71
2015,1,NM,11204,Los Alamos County,Final,0.188,0.000,0.000,0.000,0.188,43,0,0,0,43
2015,1,NM,15473,Public Service Co of NM,Final,20.062,31.300,0.000,0.000,51.362,"4,189",412,0,0,"4,601"
2015,1,NM,17718,Southwestern Public Service Co,Final,0.418,6.925,0.546,0.000,7.889,49,84,3,0,136
2015,1,NM,99999,State Adjustment,Final,5.652,1.157,.,.,6.809,.,.,.,.,.
2015,1,NV,2008,City of Boulder City - (NV),Final,0.008,0.331,0.000,0.000,0.339,3,3,0,0,6
2015,1,NV,13073,"Mt Wheeler Power, Inc",Final,0.017,0.122,0.000,0.000,0.139,3,5,0,0,8
2015,1,NV,13407,Nevada Power Co,Final,16.729,16.592,7.071,0.000,40.392,"2,990",276,64,0,"3,330"
2015,1,NV,17166,Sierra Pacific Power Co,Final,5.309,20.040,1.040,0.000,26.389,"1,018",229,4,0,"1,251"
2015,1,NV,19840,"Valley Electric Assn, Inc",Final,0.727,0.095,0.000,0.000,0.822,116,12,0,0,128
2015,1,NV,99999,State Adjustment,Final,0.292,.,0.024,.,0.316,.,.,.,.,.
2015,1,NY,3249,Central Hudson Gas & Elec Corp,Final,19.313,10.015,0.000,0.000,29.328,"2,881",277,0,0,"3,158"
2015,1,NY,4226,Consolidated Edison Co-NY Inc,Final,24.823,37.639,0.000,0.000,62.462,"3,477",740,0,0,"4,217"
2015,1,NY,11171,Long Island Power Authority,Final,72.841,25.493,0.000,0.000,98.334,"11,885",939,0,0,"12,824"
2015,1,NY,13511,New York State Elec & Gas Corp,Final,15.148,23.221,0.000,0.000,38.369,"2,369",422,0,0,"2,791"
2015,1,NY,13573,Niagara Mohawk Power Corp.,Final,36.063,52.554,3.070,0.000,91.687,"5,119","1,137",17,0,"6,273"
2015,1,NY,14154,Orange & Rockland Utils Inc,Final,11.267,5.204,0.760,0.000,17.231,"1,651",96,1,0,"1,748"
2015,1,NY,16183,Rochester Gas & Electric Corp,Final,1.914,4.968,0.000,0.000,6.882,305,93,0,0,398
2015,1,NY,99999,State Adjustment,Final,0.057,.,0.030,.,0.087,.,.,.,.,.
2015,1,OH,3542,Duke Energy Ohio Inc,Final,1.522,12.382,0.000,0.000,13.904,325,139,0,0,464
2015,1,OH,3755,Cleveland Electric Illum Co,Final,0.672,6.116,1.283,0.000,8.071,115,78,6,0,199
2015,1,OH,4922,Dayton Power & Light Co,Final,0.862,6.419,0.000,0.000,7.281,165,56,0,0,221
2015,1,OH,13998,Ohio Edison Co,Final,2.391,12.763,3.597,0.000,18.751,306,118,7,0,431
2015,1,OH,14006,Ohio Power Co,Final,3.334,18.622,11.110,0.000,33.066,516,196,27,0,739
2015,1,OH,18997,The Toledo Edison Co,Final,0.474,11.012,1.864,0.000,13.350,74,67,3,0,144
2015,1,OH,99999,State Adjustment,Final,1.105,0.333,0.250,.,1.688,.,.,.,.,.
2015,1,OK,5860,Empire District Electric Co,Final,0.000,0.005,0.000,0.000,0.005,0,1,0,0,1
2015,1,OK,13734,Northeast Oklahoma Electric Co,Final,0.075,0.005,0.000,0.000,0.080,22,1,0,0,23
2015,1,OK,14062,Oklahoma Electric Coop Inc,Final,0.215,0.000,0.000,0.000,0.215,56,0,0,0,56
2015,1,OK,14063,Oklahoma Gas & Electric Co,Final,0.801,0.776,0.000,0.000,1.577,210,30,0,0,240
2015,1,OK,15474,Public Service Co of Oklahoma,Final,0.397,0.191,0.000,0.000,0.588,97,15,0,0,112
2015,1,OK,19785,Verdigris Valley Elec Coop Inc,Final,0.030,0.000,0.000,0.000,0.030,12,0,0,0,12
2015,1,OK,99999,State Adjustment,Final,0.246,0.055,.,.,0.301,.,.,.,.,.
2015,1,OR,6022,City of Eugene - (OR),Final,1.197,0.632,0.000,0.000,1.829,220,22,0,0,242
2015,1,OR,9191,Idaho Power Co,Final,0.016,0.142,0.213,0.000,0.371,6,6,3,0,15
2015,1,OR,14354,PacifiCorp,Final,13.579,20.477,1.855,0.000,35.911,"3,268",527,110,0,"3,905"
2015,1,OR,15248,Portland General Electric Co,Final,18.860,14.970,0.000,0.000,33.830,"4,175",323,0,0,"4,498"
2015,1,OR,18260,Surprise Valley Electrification,Final,0.015,0.015,0.000,0.000,0.030,1,1,0,0,2
