seqID,gender,age,ethnicity,hhSize,hhChild,hhTeen,hhElder,hhIncomeAnnual
73617,Male,6,Hispanic,6,1,3,0,4
73618,Female,54,White,4,0,2,0,13
73619,Female,36,Hispanic,2,0,0,0,3
73620,Female,3,White,4,1,1,0,15
73621,Male,80,White,2,0,0,2,14
73622,Male,72,White,2,0,0,2,14
73623,Male,32,White,4,2,0,0,14
73624,Female,31,White,6,3,0,0,4
73625,Male,13,Hispanic,5,0,3,0,77
73626,Female,72,Black,4,0,1,2,4
73627,Male,0,Asian,5,3,0,0,15
73628,Male,80,White,1,0,0,1,7
73629,Female,26,Black,5,0,1,0,14
73630,Male,13,Asian,4,0,2,0,15
73631,Female,56,Black,1,0,0,0,2
73632,Male,23,Hispanic,2,0,0,0,7
73633,Female,43,White,4,0,1,0,14
73634,Male,65,Black,3,0,0,1,6
73635,Female,4,Hispanic,4,1,1,0,15
73636,Female,1,Hispanic,4,1,2,0,14
73637,Female,2,White,5,3,0,0,2
73638,Female,63,Other,1,0,0,1,6
73639,Male,71,White,5,1,0,2,7
73640,Female,67,Black,1,0,0,1,6
73641,Female,64,White,1,0,0,1,2
73642,Female,57,White,3,0,0,0,8
73643,Male,62,Asian,2,0,0,2,1
73644,Male,8,Other,6,1,3,0,7
73645,Female,54,White,6,0,1,0,15
73646,Male,4,Hispanic,4,1,1,0,15
73647,Female,61,Hispanic,3,0,1,2,10
73648,Female,16,Black,4,0,1,0,15
73649,Male,3,White,5,3,0,0,2
73650,Male,6,Other,6,1,2,0,10
73651,Female,6,Black,4,1,1,0,9
73652,Female,54,Black,2,0,0,0,9
73653,Female,10,Black,6,0,4,0,3
73654,Male,46,White,3,0,0,0,4
73655,Male,44,Black,5,1,2,0,8
73656,Male,54,White,4,0,1,0,15
73657,Female,19,Hispanic,5,2,0,0,7
73658,Male,35,Asian,3,1,0,0,15
73659,Female,70,White,2,0,0,2,6
73660,Male,59,Asian,3,0,1,0,7
73661,Male,25,Black,3,0,0,0,7
73662,Male,39,White,4,0,0,1,3
73663,Male,25,White,2,0,0,0,15
73664,Female,5,Hispanic,4,1,1,0,14
73665,Male,59,Hispanic,2,0,0,0,1
73666,Male,70,Asian,2,0,0,2,9
73667,Male,24,White,5,2,1,0,4
73668,Female,30,White,7,2,4,0,8
73669,Male,4,Black,4,2,0,0,5
73670,Female,71,Hispanic,1,0,0,1,3
73671,Male,49,Black,1,0,0,0,3
73672,Male,73,White,2,0,0,2,14
73673,Male,45,White,4,0,2,0,15
73674,Female,45,White,5,0,1,0,12
73675,Male,29,Asian,3,1,0,0,4
73676,Male,44,White,4,0,2,0,10
73677,Female,61,Black,2,0,0,2,15
73678,Male,51,White,5,2,1,0,6
73679,Female,1,Hispanic,5,2,1,0,7
73680,Male,12,White,3,0,1,0,8
73681,Female,9,Black,5,1,3,0,6
73682,Female,3,Black,3,1,1,0,2
73683,Female,2,Other,4,2,0,0,8
73684,Male,64,Asian,2,0,0,1,15
73685,Female,0,Other,4,1,0,0,6
73686,Female,7,Hispanic,6,0,3,0,5
73687,Male,8,White,4,0,2,0,4
73688,Male,58,White,2,0,0,1,10
73689,Male,54,White,3,0,0,0,15
73690,Female,77,White,2,0,0,2,8
73691,Male,14,White,6,0,1,2,8
73692,Male,65,Hispanic,2,0,0,2,6
73693,Female,78,White,1,0,0,1,2
73694,Female,66,White,2,0,0,2,10
73695,Female,79,White,2,0,0,2,9
73696,Female,8,White,3,0,1,0,99
73697,Female,57,White,2,0,0,1,8
73698,Male,23,White,2,0,0,0,9
73699,Male,20,White,2,0,0,0,NA
73700,Male,0,Hispanic,4,3,0,0,3
73701,Male,47,Asian,4,1,0,0,15
73702,Female,48,White,2,0,0,0,9
73703,Female,38,Hispanic,4,1,1,0,77
73704,Female,8,White,7,2,3,0,7
73705,Male,10,White,4,1,1,0,15
73706,Male,54,White,4,0,1,1,6
73707,Male,45,Black,2,0,0,0,77
73708,Male,69,Hispanic,4,0,0,2,15
73709,Male,64,Black,2,0,0,1,6
73710,Male,2,White,6,3,0,0,4
73711,Male,5,Hispanic,7,1,4,0,4
73712,Male,18,Asian,4,0,1,0,15
73713,Male,3,Hispanic,5,2,0,0,99
73714,Female,29,White,3,1,0,0,15
73715,Female,38,White,3,0,1,0,9
73716,Male,25,White,1,0,0,0,8
73717,Male,78,Black,3,0,0,3,7
73718,Male,53,Black,3,0,1,0,5
73719,Female,11,Hispanic,7,0,4,1,6
73720,Male,48,Black,3,0,1,0,9
73721,Female,80,White,1,0,0,1,6
73722,Female,80,Black,1,0,0,1,7
73723,Male,77,White,2,0,0,2,15
73724,Male,26,Black,2,0,0,1,NA
73725,Female,80,White,2,0,0,1,8
73726,Female,67,Hispanic,7,0,4,1,8
73727,Female,3,Black,3,2,0,0,2
73728,Male,16,White,6,0,2,0,15
73729,Male,46,White,4,0,1,0,9
73730,Male,48,Hispanic,3,0,0,0,6
73731,Male,12,Other,4,0,2,0,15
73732,Male,80,White,2,0,0,1,8
73733,Female,23,Hispanic,5,0,1,0,12
73734,Female,5,Black,3,1,1,0,1
73735,Female,29,Hispanic,3,0,2,0,1
73736,Male,55,Black,3,0,0,1,77
73737,Female,30,Other,6,1,2,0,10
73738,Male,29,Black,4,0,0,0,15
73739,Female,46,White,3,0,0,0,6
73740,Female,57,Asian,4,0,0,1,9
73741,Female,47,Hispanic,5,0,1,0,12
73742,Female,11,Other,5,1,2,0,7
73743,Male,0,Hispanic,4,1,0,0,13
73744,Female,0,White,5,1,2,0,4
73745,Male,7,Other,4,0,2,0,3
73746,Female,64,White,1,0,0,1,3
73747,Female,80,Hispanic,2,0,0,2,14
73748,Male,0,Black,7,1,4,0,8
73749,Male,29,White,2,0,0,0,77
73750,Male,9,Other,5,1,2,0,7
73751,Female,61,White,2,0,0,1,3
73752,Female,8,White,5,0,3,0,9
73753,Female,11,White,4,1,1,0,8
73754,Male,15,Hispanic,3,0,1,0,4
73755,Male,75,Hispanic,2,0,0,1,7
73756,Male,56,White,4,0,0,0,77
73757,Female,29,Hispanic,2,0,0,0,14
73758,Female,15,White,7,1,3,0,15
73759,Female,9,Hispanic,4,1,1,0,7
73760,Male,64,White,2,0,0,2,5
73761,Male,17,Hispanic,5,0,3,0,3
73762,Male,3,Hispanic,6,1,2,1,10
73763,Female,31,Hispanic,6,2,2,0,1
73764,Male,13,Asian,5,1,2,0,10
73765,Male,54,Hispanic,3,0,1,0,3
73766,Female,75,White,1,0,0,1,5
73767,Female,35,Asian,4,1,1,0,15
73768,Female,4,Asian,4,1,1,0,14
73769,Male,42,Hispanic,1,0,0,0,77
73770,Female,50,White,2,0,0,1,14
73771,Male,0,White,5,1,0,0,6
73772,Female,21,Hispanic,4,0,0,0,15
73773,Female,39,Hispanic,5,1,2,0,15
73774,Female,80,Black,2,0,1,1,99
73775,Female,14,Black,5,1,3,0,3
73776,Female,19,Hispanic,7,1,2,1,5
73777,Male,5,Hispanic,4,2,0,0,5
73778,Male,62,Hispanic,1,0,0,1,5
73779,Male,62,White,1,0,0,1,1
73780,Male,78,White,2,0,0,2,77
73781,Female,48,White,3,0,1,0,77
73782,Male,68,White,2,0,0,1,5
73783,Male,26,White,4,1,0,2,15
73784,Female,7,Hispanic,3,0,1,0,6
73785,Male,46,Asian,3,0,0,0,15
73786,Female,18,White,4,0,2,0,5
73787,Male,71,Black,3,0,0,3,9
73788,Female,9,Hispanic,4,1,1,0,2
73789,Female,2,Black,4,1,0,0,15
73790,Male,59,White,1,0,0,0,7
73791,Male,8,Black,7,0,4,0,5
73792,Female,68,White,2,0,0,2,15
73793,Male,10,Hispanic,7,0,4,0,14
73794,Female,6,Hispanic,7,1,4,0,3
73795,Male,59,White,2,0,0,0,15
73796,Female,5,Hispanic,6,1,3,0,7
73797,Female,57,White,3,0,0,0,4
73798,Male,11,Hispanic,7,1,2,1,5
73799,Female,10,Hispanic,5,0,4,0,13
73800,Female,54,White,1,0,0,0,4
73801,Female,46,Hispanic,4,0,1,0,15
73802,Female,18,Asian,2,0,0,0,1
73803,Male,14,Asian,5,0,3,0,7
73804,Male,55,Hispanic,5,0,0,0,5
73805,Female,30,White,2,0,0,0,2
73806,Male,63,Black,2,0,0,1,14
73807,Female,50,White,2,0,0,0,15
73808,Female,53,White,2,0,0,0,7
73809,Female,52,White,3,0,0,0,6
73810,Male,48,Hispanic,7,0,4,0,14
73811,Male,64,White,2,0,0,2,5
73812,Male,5,White,3,1,1,0,3
73813,Female,34,White,7,0,4,0,14
73814,Male,0,Black,6,1,3,0,1
73815,Female,72,Black,2,0,0,2,8
73816,Male,64,Hispanic,3,0,0,2,6
73817,Male,0,Hispanic,7,3,2,0,5
73818,Male,5,Black,4,1,2,0,15
73819,Male,4,Hispanic,3,1,0,0,15
73820,Male,56,White,3,0,1,0,9
73821,Female,56,White,2,0,0,0,15
73822,Female,13,Black,4,0,2,0,1
73823,Male,35,Black,2,0,0,0,6
73824,Male,11,Black,5,1,3,0,3
73825,Female,64,Asian,2,0,0,2,15
73826,Female,14,Hispanic,6,0,4,0,4
73827,Female,11,Hispanic,3,0,2,0,15
73828,Female,4,Black,4,1,1,0,9
73829,Female,7,Asian,3,0,1,0,15
73830,Male,64,Asian,3,0,0,1,15
73831,Female,48,Other,4,1,0,0,6
73832,Male,77,Black,2,0,0,2,10
73833,Female,34,Asian,3,1,0,0,15
73834,Male,64,Asian,1,0,0,1,NA
73835,Male,13,Hispanic,4,0,2,0,15
73836,Female,9,White,7,1,4,0,8
73837,Male,29,White,3,1,0,0,9
73838,Female,2,Black,2,1,0,0,8
73839,Male,68,White,4,0,0,2,9
73840,Female,77,White,1,0,0,1,5
73841,Male,13,Hispanic,7,0,2,2,5
73842,Male,53,Hispanic,1,0,0,0,3
73843,Male,42,Asian,6,1,2,1,7
73844,Female,12,White,3,0,2,0,7
73845,Female,70,White,1,0,0,1,4
73846,Female,24,Black,5,0,3,0,7
73847,Male,34,White,6,1,3,0,7
73848,Female,65,White,1,0,0,1,3
73849,Female,16,White,5,0,2,0,15
73850,Male,30,White,7,2,2,0,5
73851,Female,48,Hispanic,3,0,1,0,15
73852,Female,40,Hispanic,5,1,2,1,8
73853,Male,13,White,5,0,3,0,14
73854,Female,1,Hispanic,6,2,2,0,14
73855,Female,38,White,3,0,2,0,2
73856,Male,0,Hispanic,6,1,0,1,14
73857,Male,23,Hispanic,6,1,1,0,7
73858,Male,52,Black,2,0,0,0,4
73859,Male,38,Black,2,0,0,0,9
73860,Male,53,Black,1,0,0,0,6
73861,Male,77,White,2,0,0,2,15
73862,Female,61,White,3,0,0,2,6
73863,Male,26,Asian,1,0,0,0,8
73864,Female,62,White,3,0,0,2,5
73865,Male,48,White,5,0,3,0,6
73866,Female,47,Hispanic,4,0,1,0,15
73867,Female,80,White,2,0,0,2,15
73868,Male,32,Other,3,0,0,2,5
73869,Male,7,Black,2,0,1,0,3
73870,Male,38,White,2,0,0,0,15
73871,Female,28,White,4,1,0,1,9
73872,Female,63,Asian,7,1,1,2,77
73873,Male,80,Asian,2,0,0,1,7
73874,Female,2,White,3,1,0,0,10
73875,Male,43,Hispanic,5,1,1,0,8
73876,Female,0,White,6,2,1,0,15
73877,Female,0,Black,6,3,1,0,7
73878,Female,45,Black,2,0,0,0,7
73879,Female,58,White,4,0,0,1,7
73880,Female,50,White,6,0,0,2,10
73881,Male,38,Hispanic,3,0,0,1,7
73882,Female,25,White,2,0,0,0,3
73883,Male,67,Hispanic,6,0,2,2,2
73884,Male,43,Hispanic,4,0,2,0,14
73885,Male,6,White,7,2,3,0,7
73886,Female,64,Hispanic,2,0,0,2,15
73887,Male,16,White,3,0,2,0,7
73888,Male,56,White,4,0,0,0,15
73889,Male,15,Hispanic,3,0,1,1,4
73890,Male,16,Black,4,2,1,0,2
73891,Male,12,Black,4,0,3,0,9
73892,Male,15,Asian,5,0,2,0,15
73893,Male,17,Black,2,0,1,1,99
73894,Male,6,Black,6,1,4,0,6
73895,Male,5,Hispanic,5,1,1,0,6
73896,Female,19,Hispanic,6,0,2,0,12
73897,Female,11,Black,3,0,1,0,3
73898,Male,9,White,4,0,2,0,12
73899,Male,57,Black,4,0,0,0,15
73900,Male,66,White,2,0,0,2,15
73901,Male,54,White,1,0,0,0,15
73902,Female,28,Asian,2,0,0,0,15
73903,Female,4,Other,5,3,0,0,5
73904,Male,17,Hispanic,5,0,3,0,4
73905,Male,12,Hispanic,6,1,1,0,5
73906,Female,34,Hispanic,5,1,2,1,3
73907,Female,8,White,3,0,2,0,3
73908,Male,67,White,2,0,0,2,8
73909,Male,0,Black,3,1,0,0,9
73910,Male,51,Asian,2,0,0,0,15
73911,Male,3,White,5,1,2,0,6
73912,Male,0,Hispanic,3,1,0,0,4
73913,Male,26,Black,5,0,0,0,12
73914,Female,52,Other,1,0,0,0,12
73915,Female,14,White,5,1,1,0,5
73916,Male,27,White,2,0,0,0,4
73917,Male,8,White,4,0,3,0,6
73918,Male,32,Black,3,0,0,0,6
73919,Male,61,Black,2,0,0,1,1
73920,Male,18,Hispanic,4,0,0,0,7
73921,Female,80,White,1,0,0,1,3
73922,Female,75,White,2,0,0,2,5
73923,Male,4,Hispanic,6,1,3,0,10
73924,Female,39,White,4,0,2,0,77
73925,Male,60,Hispanic,2,0,0,2,3
73926,Male,64,Hispanic,3,0,0,2,10
73927,Female,3,Hispanic,5,1,2,0,7
73928,Male,23,Black,3,0,0,0,12
73929,Female,3,Hispanic,2,1,0,0,5
73930,Female,70,Black,2,0,0,2,15
73931,Female,37,Hispanic,7,1,3,1,5
73932,Male,30,White,3,1,0,0,3
73933,Female,10,Other,6,2,3,0,4
73934,Male,31,Black,6,1,1,0,8
73935,Male,63,Hispanic,2,0,0,1,77
73936,Female,3,White,4,2,0,0,15
73937,Female,41,Hispanic,5,0,2,0,5
73938,Female,53,White,2,0,0,0,15
73939,Female,6,Other,6,2,2,0,1
73940,Male,7,Hispanic,6,1,3,0,77
73941,Male,28,Black,3,1,0,0,8
73942,Male,5,Black,6,3,0,0,NA
73943,Male,19,Hispanic,5,0,1,0,9
73944,Male,0,Black,7,2,3,0,12
73945,Male,66,White,1,0,0,1,5
73946,Male,2,Hispanic,4,1,2,0,5
73947,Male,1,Hispanic,5,2,0,0,5
73948,Female,4,Black,3,2,0,0,6
73949,Male,48,Hispanic,5,1,1,0,5
73950,Male,3,White,5,3,0,0,6
73951,Male,14,Hispanic,3,0,1,0,9
73952,Male,42,Hispanic,1,0,0,0,1
73953,Female,13,Black,5,0,1,3,12
73954,Female,45,White,4,1,1,0,15
73955,Female,31,Black,3,1,0,0,15
73956,Male,4,Other,5,2,0,2,9
73957,Female,26,Asian,7,1,2,0,15
73958,Female,16,Black,3,0,2,0,9
73959,Male,5,Black,7,3,1,0,9
73960,Female,11,White,3,0,1,0,15
73961,Male,7,Black,5,1,2,0,6
73962,Male,49,Black,7,3,1,0,9
73963,Male,16,Asian,4,0,2,0,14
73964,Male,45,Black,1,0,0,0,9
73965,Male,0,White,5,3,0,0,6
73966,Male,7,Hispanic,6,0,4,0,5
73967,Male,9,Asian,4,0,2,0,15
73968,Male,15,Black,4,0,2,0,15
73969,Male,0,White,5,1,2,0,7
73970,Male,10,Hispanic,5,2,1,0,4
73971,Female,15,Black,6,1,3,0,14
73972,Female,2,Hispanic,3,1,0,0,6
73973,Female,75,Black,1,0,0,1,8
73974,Male,34,Hispanic,5,1,2,0,14
73975,Female,64,White,2,0,0,1,4
73976,Female,11,Other,7,2,4,0,14
73977,Male,30,Asian,3,0,0,0,15
73978,Female,10,Asian,4,0,2,0,15
73979,Female,61,White,2,0,0,2,15
73980,Male,43,Hispanic,7,0,1,0,12
73981,Female,36,Asian,5,0,2,2,7
73982,Male,13,Black,3,0,2,0,2
73983,Female,18,Black,2,0,0,0,1
73984,Male,5,White,2,1,0,0,7
73985,Female,43,Hispanic,3,0,1,0,9
73986,Female,7,Black,5,1,2,0,6
73987,Male,56,Hispanic,2,0,0,1,4
73988,Male,4,White,4,2,0,0,15
73989,Male,0,White,5,2,0,0,6
73990,Female,50,Asian,3,0,1,0,15
73991,Female,8,Hispanic,4,1,1,1,4
73992,Male,20,White,2,0,0,0,99
73993,Male,57,White,2,0,0,1,3
73994,Male,36,Other,6,0,4,0,10
73995,Female,40,Asian,3,0,2,0,9
73996,Female,17,White,3,1,1,0,6
73997,Male,17,Hispanic,5,1,1,0,14
73998,Female,32,Black,4,0,2,0,7
73999,Male,66,White,2,0,0,2,15
74000,Male,14,White,7,2,3,0,7
74001,Male,48,Black,5,0,0,1,5
74002,Male,63,Black,3,0,0,2,14
74003,Female,68,Black,3,0,0,1,4
74004,Female,31,Black,5,2,1,0,9
74005,Male,23,White,1,0,0,0,3
74006,Female,34,Black,2,0,0,0,6
74007,Female,71,White,2,0,0,2,7
74008,Female,49,White,2,0,0,0,8
74009,Female,6,White,5,0,3,0,15
74010,Male,40,White,5,0,2,0,8
74011,Male,55,Black,2,0,0,0,15
74012,Female,68,Hispanic,5,1,1,1,7
74013,Female,56,White,2,0,0,0,15
74014,Male,60,Hispanic,2,0,0,2,99
74015,Female,2,White,3,1,0,0,5
74016,Male,49,Asian,4,2,0,0,14
74017,Female,18,Asian,7,0,2,1,15
74018,Male,22,Black,3,1,0,0,2
74019,Female,17,Hispanic,7,0,4,0,1
74020,Female,4,White,5,1,2,0,15
74021,Male,16,Hispanic,4,0,1,0,6
74022,Female,66,Hispanic,7,1,2,1,3
74023,Male,19,White,2,0,0,0,9
74024,Male,3,Other,2,1,0,0,1
74025,Male,45,White,3,0,0,0,8
74026,Male,11,Hispanic,4,1,1,0,77
74027,Male,42,Black,6,3,0,0,10
74028,Female,57,Black,4,0,0,1,6
74029,Male,22,Black,1,0,0,0,7
74030,Male,0,White,5,2,1,0,4
74031,Female,19,Black,4,1,1,0,8
74032,Female,47,White,4,0,1,0,15
74033,Male,80,White,1,0,0,1,10
74034,Female,0,Hispanic,6,2,2,0,14
74035,Female,3,Black,3,1,0,0,3
74036,Male,43,Black,3,0,1,0,12
74037,Male,20,Hispanic,5,0,2,0,5
74038,Female,54,Black,2,0,0,0,1
74039,Female,10,Black,7,2,2,0,6
74040,Male,4,Hispanic,5,2,1,0,4
74041,Male,60,Hispanic,3,0,0,3,NA
74042,Female,41,Asian,4,1,1,0,5
74043,Female,14,Hispanic,4,0,3,0,2
74044,Male,73,White,1,0,0,1,3
74045,Male,38,Hispanic,2,0,0,0,8
74046,Female,41,White,4,0,2,0,15
74047,Female,40,Hispanic,6,1,1,0,5
74048,Male,80,White,2,0,0,2,6
74049,Female,62,Black,2,0,0,1,7
74050,Female,44,White,4,1,0,1,6
74051,Female,20,Asian,4,0,0,0,15
74052,Female,19,Black,3,1,0,0,1
74053,Female,10,Black,5,2,1,0,7
74054,Female,40,White,3,1,0,0,10
74055,Male,57,Hispanic,3,0,0,0,8
74056,Male,38,Hispanic,7,1,3,1,5
74057,Female,63,Black,2,0,0,2,6
74058,Female,60,Black,5,0,0,3,6
74059,Male,57,White,2,0,0,1,15
74060,Female,8,White,5,0,3,0,14
74061,Female,12,Black,6,0,4,0,5
74062,Female,67,Asian,3,0,0,1,4
74063,Male,49,Asian,5,0,0,0,15
74064,Male,17,Asian,3,0,1,0,4
74065,Female,71,White,1,0,0,1,8
74066,Male,56,Hispanic,6,0,1,0,4
74067,Female,2,White,5,1,2,0,7
74068,Female,5,White,2,1,0,0,1
74069,Female,0,White,4,1,0,0,5
74070,Female,59,White,3,0,0,1,15
74071,Female,3,White,5,3,0,0,15
74072,Male,63,Black,1,0,0,1,4
74073,Male,0,Black,2,1,0,0,3
74074,Female,4,Hispanic,6,3,1,0,4
74075,Male,59,Black,1,0,0,0,2
74076,Female,4,Hispanic,4,1,0,0,15
74077,Male,26,White,5,0,0,1,9
74078,Male,63,White,2,0,0,1,14
74079,Female,2,Hispanic,5,1,2,0,5
74080,Female,5,White,7,3,3,0,14
74081,Male,80,White,2,0,0,2,5
74082,Male,4,Other,3,1,0,0,3
74083,Female,67,Black,1,0,0,1,6
74084,Male,1,Other,5,2,1,0,5
74085,Female,80,White,2,0,0,2,4
74086,Male,6,Black,4,0,2,0,15
74087,Female,59,Hispanic,7,1,2,1,15
74088,Male,12,Hispanic,6,0,3,0,5
74089,Male,11,Black,5,0,4,0,5
74090,Female,80,White,1,0,0,1,6
74091,Female,19,Other,5,0,2,0,10
74092,Female,6,Black,7,0,3,0,15
74093,Male,4,Hispanic,7,1,2,1,15
74094,Male,7,Black,5,1,2,0,6
74095,Female,12,Hispanic,4,0,2,0,15
74096,Male,53,White,2,0,0,0,2
74097,Female,40,White,6,0,4,0,15
74098,Male,0,Hispanic,5,3,0,0,7
74099,Male,44,Hispanic,5,0,2,0,5
74100,Male,69,Black,1,0,0,1,4
74101,Female,34,Other,5,0,3,1,5
74102,Female,18,Black,4,0,1,0,7
74103,Female,17,Hispanic,4,1,1,0,5
74104,Female,8,Other,5,0,1,0,15
74105,Female,0,Black,4,1,2,0,3
74106,Female,10,Black,6,0,2,0,9
74107,Male,4,White,4,3,0,0,4
74108,Female,1,Black,5,1,2,0,14
74109,Female,59,White,3,0,0,0,7
74110,Male,60,Hispanic,4,0,0,1,6
74111,Female,61,Asian,5,0,1,1,15
74112,Female,28,Hispanic,6,2,3,0,4
74113,Male,17,White,4,0,3,0,5
74114,Female,9,Black,6,0,3,0,6
74115,Male,27,Hispanic,5,2,1,0,4
74116,Male,25,Hispanic,6,2,0,0,8
74117,Female,8,Black,6,1,2,0,14
74118,Female,35,Hispanic,5,1,2,0,14
74119,Female,32,Hispanic,5,0,2,0,7
74120,Male,80,White,2,0,0,2,5
74121,Female,9,White,3,0,1,0,15
74122,Female,71,White,1,0,0,1,6
74123,Female,21,Hispanic,2,0,0,0,3
74124,Female,28,Hispanic,2,1,0,0,5
74125,Female,39,White,5,1,2,0,12
74126,Female,53,Black,1,0,0,0,8
74127,Female,33,Black,7,0,1,0,5
74128,Female,71,Black,5,0,0,2,7
74129,Male,56,Asian,7,2,1,0,8
74130,Male,12,Black,6,0,4,0,9
74131,Female,24,Hispanic,3,0,0,0,10
74132,Female,62,Black,3,0,0,1,10
74133,Female,14,Hispanic,5,0,2,1,6
74134,Female,51,Asian,3,0,0,0,9
74135,Female,6,White,4,1,1,0,15
74136,Male,9,Asian,4,0,2,0,77
74137,Male,17,Hispanic,7,3,2,0,8
74138,Male,69,Hispanic,3,0,0,2,6
74139,Female,63,Asian,2,0,0,2,1
74140,Female,8,Hispanic,5,1,2,0,3
74141,Female,71,White,1,0,0,1,9
74142,Male,61,Black,3,0,1,1,7
74143,Male,30,White,4,0,0,2,15
74144,Male,51,Hispanic,3,0,0,0,14
74145,Male,6,Black,3,0,1,0,7
74146,Male,50,Black,2,0,0,0,2
74147,Female,79,White,2,0,0,2,4
74148,Female,42,White,2,0,0,0,5
74149,Female,54,Hispanic,1,0,0,0,2
74150,Female,20,White,7,0,0,0,14
74151,Male,1,White,5,3,0,0,2
74152,Female,74,Black,1,0,0,1,2
74153,Female,59,White,2,0,0,0,77
74154,Female,52,Black,3,0,1,0,8
74155,Female,20,Hispanic,3,0,1,0,4
74156,Female,3,Hispanic,5,2,0,0,7
74157,Female,7,Other,6,0,4,0,15
74158,Female,19,Black,6,2,0,0,6
74159,Male,32,Black,2,0,0,0,15
74160,Female,66,Hispanic,4,0,0,1,14
74161,Female,16,Other,7,1,4,0,6
74162,Female,19,White,5,1,1,0,NA
74163,Female,11,Hispanic,3,0,1,0,14
74164,Female,38,Hispanic,3,0,0,1,6
74165,Male,3,Hispanic,7,3,2,0,8
74166,Female,28,White,5,3,0,0,2
74167,Male,0,White,5,2,0,0,14
74168,Male,14,Hispanic,5,0,1,0,5
74169,Male,22,Black,3,0,0,1,8
74170,Male,56,Black,1,0,0,0,15
74171,Male,17,Asian,3,0,1,0,9
74172,Female,33,White,3,0,2,0,6
74173,Female,43,Hispanic,3,0,2,0,5
74174,Female,3,White,4,2,0,0,15
74175,Female,80,White,1,0,0,1,2
74176,Female,51,Asian,6,1,0,0,4
74177,Male,5,White,5,3,0,0,6
74178,Female,53,Black,2,0,0,0,15
74179,Male,17,Black,6,0,3,1,15
74180,Female,63,White,2,0,0,2,9
74181,Male,38,White,3,0,0,2,6
74182,Male,12,Hispanic,7,2,1,0,7
74183,Female,11,Hispanic,5,0,3,0,15
74184,Female,55,Asian,3,0,0,0,15
74185,Female,11,White,5,0,2,0,15
74186,Female,29,White,5,2,1,0,7
74187,Female,23,Black,6,0,3,0,12
74188,Male,80,White,1,0,0,1,77
74189,Female,0,Hispanic,3,1,0,0,6
74190,Female,56,White,2,0,0,1,8
74191,Female,39,Black,3,0,1,0,1
74192,Female,7,White,5,2,1,0,7
74193,Female,66,White,1,0,0,1,3
74194,Female,3,White,3,1,0,0,4
74195,Female,26,White,5,3,0,0,5
74196,Female,36,White,3,0,1,0,15
74197,Male,26,Black,3,0,0,0,4
74198,Female,66,Hispanic,1,0,0,1,7
74199,Female,22,Black,3,2,0,0,1
74200,Male,5,White,5,1,3,0,6
74201,Female,25,Black,3,1,1,0,3
74202,Male,59,Black,2,0,0,0,14
74203,Female,51,Black,2,0,0,1,5
74204,Female,6,Black,7,1,4,0,4
