"DBA","BORO","STREET","ZIPCODE","CUISINE.DESCRIPTION","INSPECTION.DATE","ACTION","VIOLATION.CODE","VIOLATION.DESCRIPTION","CRITICAL.FLAG","SCORE","GRADE","GRADE.DATE","RECORD.DATE","INSPECTION.TYPE","X1","X2"
"OLGA'S PIZZA","MANHATTAN","BROADWAY",10031,"Pizza","11/19/2013","Violations were cited in the following area(s).","04M","Live roaches present in facility's food and/or non-food areas.","Critical",11,"A","11/19/2013","04/23/2017","Cycle Inspection / Re-inspection",-73.994013,40.75607
"EDDIE'S DELI & PIZZA","MANHATTAN","E 116TH ST",10029,"American","12/15/2015","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",11,"A","12/15/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.990809,40.7656103
"VIACOM CAFETERIA","MANHATTAN","BROADWAY",10036,"American","08/19/2013","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",12,"A","08/19/2013","04/23/2017","Cycle Inspection / Initial Inspection",-73.985112,40.7683497
"BLUE SMOKE","MANHATTAN","EAST   27 STREET",10016,"American","02/09/2015","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",6,"A","02/09/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.9871121,40.7475563
"HANAMICHI","MANHATTAN","W 32ND ST",10001,"Asian","09/12/2016","Violations were cited in the following area(s).","08C","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.","Not Critical",4,"A","09/12/2016","04/23/2017","Cycle Inspection / Initial Inspection",-74.0059186,40.7425242
"BANQUET KITCHEN (MARRIOTT)","MANHATTAN","WEST STREET",10006,"American","12/18/2014","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",11,"A","12/18/2014","04/23/2017","Cycle Inspection / Initial Inspection",-73.970949,40.759345
"EL QUINTO PINO","MANHATTAN","WEST   24 STREET",10011,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","06/25/2014","Violations were cited in the following area(s).","06F","Wiping cloths soiled or not stored in sanitizing solution.","Critical",9,"A","06/25/2014","04/23/2017","Cycle Inspection / Re-inspection",-74.0048089,40.7412108
"A.I.G.CHARTIS","MANHATTAN","WATER STREET",10038,"American","02/13/2015","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",12,"A","02/13/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.9521029,40.7818655
"SAMS FAMOUS PIZZA","MANHATTAN","EAST  116 STREET",10029,"Pizza","04/09/2015","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",12,"A","04/09/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.9881269,40.7293993
"SOLAS","MANHATTAN","EAST    9 STREET",10003,"American","07/12/2016","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",11,"A","07/12/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.9954801,40.7137294
"Manousheh","MANHATTAN","BLEECKER ST",10012,"Middle Eastern","04/30/2015","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",9,"A","04/30/2015","04/23/2017","Pre-permit (Operational) / Re-inspection",-73.9920054,40.7443371
"2 BROS PIZZA","MANHATTAN","6TH AVE",10014,"Pizza","08/23/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",13,"A","08/23/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.9662705,40.8000976
"IL GNOCCHI RESTAURANT","MANHATTAN","EAST  116 STREET",10029,"Mexican","09/28/2013","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",21,"B","09/28/2013","04/23/2017","Cycle Inspection / Re-inspection",-74.0097423,40.7237171
"HELLS KITCHEN CAFE/HK LOUNGE","MANHATTAN","9 AVENUE",10018,"American","05/07/2014","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",19,"B","05/07/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.9951705,40.7195173
"BOCCA BLISS","MANHATTAN","3RD AVE",10017,"American","12/09/2014","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",12,"A","12/09/2014","04/23/2017","Pre-permit (Operational) / Initial Inspection",-73.9968033,40.7533485
"MAMMA'S FAMOUS PIZZA & BURGERS","MANHATTAN","BROADWAY",10024,"Pizza","12/22/2016","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",9,"A","12/22/2016","04/23/2017","Cycle Inspection / Initial Inspection",-73.9971177,40.7203748
"GOLDBAR","MANHATTAN","BROOME STREET",10013,"American","05/31/2013","Violations were cited in the following area(s).","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.","Critical",13,"A","05/31/2013","04/23/2017","Pre-permit (Operational) / Initial Inspection",-73.980716,40.730165
"MUZZARELLA PIZZA","MANHATTAN","AVENUE A",10009,"Pizza","01/06/2015","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",10,"A","01/06/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.9888897,40.7273524
"BRICKLANE CURRY HOUSE","MANHATTAN","2ND AVE",10003,"Indian","11/03/2016","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",18,"B","11/03/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.950454,40.784104
"POTBELLY SANDWICH WORKS","MANHATTAN","WEST   45 STREET",10036,"Sandwiches/Salads/Mixed Buffet","10/26/2016","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",10,"A","10/26/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.982699,40.728287
"GRAND 1 BAKERY","MANHATTAN","GRAND STREET",10002,"Bakery","10/29/2013","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",18,"B","10/29/2013","04/23/2017","Cycle Inspection / Re-inspection",-73.9363736,40.8505279
"RIDGEWAY DINER","MANHATTAN","6 AVENUE",10010,"American","09/17/2015","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",8,"A","09/17/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.9962257,40.7429109
"STAYBRIDGE SUITES","MANHATTAN","WEST 40 STREET",10018,"American","04/15/2016","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",7,"A","04/15/2016","04/23/2017","Cycle Inspection / Initial Inspection",-74.00221,40.739409
"EL NUEVO JOBO RESTAURANT","MANHATTAN","BROADWAY",10032,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)","04/22/2016","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",10,"A","04/22/2016","04/23/2017","Cycle Inspection / Initial Inspection",-73.967039,40.76902
"BEL AMI","MANHATTAN","EAST   68 STREET",10065,"French","07/22/2016","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical",10,"A","07/22/2016","04/23/2017","Cycle Inspection / Initial Inspection",-73.9962776,40.7174907
"ROOT & BONE","MANHATTAN","E 3RD ST",10009,"American","08/17/2015","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",10,"A","08/17/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.991986,40.734556
"ASTOR CENTER","MANHATTAN","LAFAYETTE STREET",10003,"American","06/25/2014","Violations were cited in the following area(s).","10J","''''Wash hands sign not posted at hand wash facility.","Not Critical",22,"B","06/25/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.993923,40.757111
"BAR 13","MANHATTAN","EAST   13 STREET",10003,"American","07/07/2015","Violations were cited in the following area(s).","10J","''''Wash hands sign not posted at hand wash facility.","Not Critical",21,"B","07/07/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.9916637,40.7184537
"BETTER BEING","MANHATTAN","9 AVENUE",10018,"American","04/02/2015","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",8,"A","04/02/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.9879292,40.7644067
"ZHENG FUZHOU CUISINE INC.","MANHATTAN","ELDRIDGE ST",10002,"Chinese","05/23/2016","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",21,"B","05/23/2016","04/23/2017","Cycle Inspection / Re-inspection",-89.6075,44.57
"JAIYA THAI & ORIENTAL RESTAURANT","MANHATTAN","2 AVENUE",10028,"Thai","10/29/2014","Violations were cited in the following area(s).","08C","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.","Not Critical",11,"A","10/29/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.99008,40.758471
"HAKKASAN","MANHATTAN","WEST   43 STREET",10036,"Chinese","06/25/2016","Violations were cited in the following area(s).","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Critical",7,"A","06/25/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.9213978,40.8673551
"PANCA","MANHATTAN","7 AVENUE SOUTH",10014,"Peruvian","05/26/2015","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",10,"A","05/26/2015","04/23/2017","Cycle Inspection / Re-inspection",4.8780717,52.3905007
"BELMORA PIZZA & RESTAURANT","MANHATTAN","EAST   57 STREET",10022,"Pizza","01/29/2015","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",13,"A","01/29/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.9767132,40.7857162
"JUBILEE","MANHATTAN","1ST AVE",10022,"French","05/28/2013","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",11,"A","05/28/2013","04/23/2017","Cycle Inspection / Re-inspection",-73.966218,40.7583799
"OFF THE WALL","MANHATTAN","2 AVENUE",10022,"Ice Cream, Gelato, Yogurt, Ices","10/24/2016","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",7,"A","10/24/2016","04/23/2017","Cycle Inspection / Initial Inspection",-73.973897,40.7532369
"DUNKIN DONUTS","MANHATTAN","BROADWAY",10007,"Donuts","04/19/2017","Violations were cited in the following area(s).","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Critical",13,"A","04/19/2017","04/23/2017","Cycle Inspection / Initial Inspection",-73.9791915,40.7370001
"HUNTER COLLEGE FOOD COURT","MANHATTAN","PARK AVENUE",10065,"American","04/22/2015","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",10,"A","04/22/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.981112,40.724775
"LZ SUSHI","MANHATTAN","7 AVENUE",10001,"Japanese","03/17/2016","Violations were cited in the following area(s).","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.","Critical",9,"A","03/17/2016","04/23/2017","Cycle Inspection / Initial Inspection",-74.0083934,40.7097145
"REICHENBACH HALL","MANHATTAN","WEST   37 STREET",10018,"German","02/22/2016","Violations were cited in the following area(s).","06F","Wiping cloths soiled or not stored in sanitizing solution.","Critical",11,"A","02/22/2016","04/23/2017","Cycle Inspection / Initial Inspection",-73.9775903,40.746895
"LOUNGE 247 I M O K","MANHATTAN","ELDRIDGE STREET",10002,"American","10/10/2013","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",16,"B","10/10/2013","04/23/2017","Cycle Inspection / Re-inspection",-73.9938591,40.7324039
"BAGEL BOB'S","MANHATTAN","UNIVERSITY PLACE",10003,"Bagels/Pretzels","10/21/2015","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",12,"A","10/21/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.9912825,40.71798
"NEW SPRING BOY CHINESE RESTAURANT","MANHATTAN","ALLEN STREET",10002,"Chinese","12/03/2015","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",9,"A","12/03/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.997839,40.716432
"AU JUS","MANHATTAN","1ST AVE",10128,"Mediterranean","07/08/2014","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140Âº F.","Critical",13,"A","07/08/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.987852,40.752059
"TIM HORTONS","MANHATTAN","PENN PLAZA",10121,"American","12/04/2014","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,"A","12/04/2014","04/23/2017","Cycle Inspection / Initial Inspection",-73.9792175,40.7816764
"CHIRPING CHICKEN","MANHATTAN","AMSTERDAM AVENUE",10024,"Chicken","07/30/2015","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",11,"A","07/30/2015","04/23/2017","Cycle Inspection / Initial Inspection",-74.005458,40.7404266
"SERAFINA GRILL","MANHATTAN","EAST 61 ST STREET",10065,"Italian","08/25/2016","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",18,"B","08/25/2016","04/23/2017","Cycle Inspection / Re-inspection",-89.397763,43.072948
"DOS CAMINOS","MANHATTAN","HUDSON STREET",10014,"Mexican","10/25/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",2,"A","10/25/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.9888066,40.7449116
"FRESH & CO.","MANHATTAN","E. 60TH ST",10022,"Sandwiches/Salads/Mixed Buffet","07/03/2014","Violations were cited in the following area(s).","10I","Single service item reused, improperly stored, dispensed; not used when required.","Not Critical",5,"A","07/03/2014","04/23/2017","Cycle Inspection / Initial Inspection",-73.989125,40.757624
"MARCHE MADISON","MANHATTAN","EAST   40 STREET",10016,"American","02/10/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",19,"B","02/10/2016","04/23/2017","Cycle Inspection / Re-inspection",-73.953989,40.774421
"STARBUCKS","MANHATTAN","5TH AVE",10118,"CafÃ©/Coffee/Tea","01/29/2016","No violations were recorded at the time of this inspection.","","","Not Applicable",0,"A","01/29/2016","04/23/2017","Pre-permit (Operational) / Initial Inspection",-73.9810844,40.7329112
"SIGNATURE CAFE AND BAR","MANHATTAN","WEST   42 STREET",10036,"American","05/18/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",7,"A","05/18/2016","04/23/2017","Cycle Inspection / Initial Inspection",-73.97701,40.749681
"BISTRO LE STEAK","MANHATTAN","3 AVENUE",10021,"French","04/17/2014","Violations were cited in the following area(s).","10H","Proper sanitization not provided for utensil ware washing operation.","Not Critical",9,"A","04/17/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.9862865,40.748868
"NEW YORK VINTNERS","MANHATTAN","WARREN STREET",10007,"American","03/09/2015","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",5,"A","03/09/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.9824405,40.7777097
"NOCHE MEXICANA II","MANHATTAN","AMSTERDAM AVENUE",10025,"Mexican","05/18/2015","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",12,"A","05/18/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.9639632,40.8090974
"LITTLE ITALY PIZZA","MANHATTAN","BROADWAY",10023,"Pizza","12/16/2015","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical",5,"A","12/16/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.9808677,40.7290171
"DIANA CENTER CAFETERIA","MANHATTAN","BROADWAY",10027,"American","04/28/2014","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",8,"A","04/28/2014","04/23/2017","Cycle Inspection / Initial Inspection",-81.5285695,30.2563383
"DOUBLE WIDE BAR","MANHATTAN","EAST   12 STREET",10009,"American","03/08/2017","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",7,"A","03/08/2017","04/23/2017","Cycle Inspection / Re-inspection",-73.9479104,40.7897443
"MIMIS RESTAURANT & BAR","MANHATTAN","SECOND AVENUE",10022,"Italian","07/08/2015","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",12,"A","07/08/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.9870821,40.7359584
"CIBAR","MANHATTAN","IRVING PLACE",10003,"American","02/13/2015","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",19,"B","02/13/2015","04/23/2017","Cycle Inspection / Re-inspection",-73.9710401,40.7574184
"MICHAEL JORDAN'S STEAK HOUSE (GRAND CENTRAL STATION)","MANHATTAN","VANDERBILT AVENUE",10017,"Steak","05/11/2015","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,"A","05/11/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.9488901,40.7884492
"CAFE TODAY","MANHATTAN","LEXINGTON AVENUE",10022,"American","03/31/2014","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical",7,"A","03/31/2014","04/23/2017","Cycle Inspection / Re-inspection",-73.9859623,40.7346247
"STARBUCKS","MANHATTAN","6 AVENUE",10011,"CafÃ©/Coffee/Tea","04/04/2016","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",5,"A","04/04/2016","04/23/2017","Cycle Inspection / Initial Inspection",-73.9732416,40.7533599
"HANA SUSHI","MANHATTAN","7 AVENUE",10011,"Japanese","11/16/2015","Violations were cited in the following area(s).","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",13,"A","11/16/2015","04/23/2017","Cycle Inspection / Initial Inspection",-73.9914524,40.7655244
